memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
0,burst,False,583768,0.294725,46879678,45747645,
0,burst,False,472917,0.30866,38976017,20946222,
0,burst,False,461309,0.292502,38222719,36858047,
0,burst,False,581357,0.286424,34380532,33412778,
0,burst,False,594697,0.280791,50807034,26003469,
0,burst,True,24221848,0.31664,54676002,24350868,
0,burst,True,22802294,0.719143,43159772,22898379,
0,burst,False,487104,0.29886,37518134,19568068,
0,burst,False,557832,0.3183,42819546,41528571,
0,burst,True,24198292,0.332761,51807761,24368053,
0,burst,False,462468,0.270453,32824848,31605140,
0,burst,False,440532,0.264362,33233302,32038829,
0,burst,False,638756,0.320981,30810310,29955998,
0,burst,False,554057,0.300577,44729426,43591372,
0,burst,False,590367,0.307354,40551509,39365242,
0,burst,False,576146,0.278286,52002166,27155744,
0,burst,False,457933,0.309296,28322357,27277986,
0,burst,False,575688,0.285462,31512180,30525284,
0,burst,False,588029,0.272034,48113659,46867706,
0,burst,False,611149,0.727641,23498180,22134052,
0,burst,False,587987,0.329179,32431547,31342516,
0,burst,False,573768,0.35129,43020523,41917225,
0,burst,False,698036,0.322552,38715002,37611790,
0,burst,False,436916,0.301624,31803393,30766428,
0,burst,False,570111,0.32843,25397881,21955519,
0,burst,False,581653,0.297591,26422208,25539392,
0,burst,False,567175,0.258024,37843507,32957672,
0,burst,False,443741,0.305334,25940158,25074195,
0,burst,False,613477,0.328371,29707621,28691353,
0,burst,False,441091,0.308469,27305376,26399668,
0,burst,False,575084,0.310088,49730796,48322569,
0,burst,False,563245,0.341208,46900304,45486938,
0,burst,False,449790,0.319603,29147000,28174819,
0,burst,False,574568,0.324742,44863820,43588774,
0,burst,False,619885,0.293943,31297735,30177449,
0,burst,False,604538,0.298939,35037488,34017493,
0,burst,False,592452,0.315481,28255366,24826607,
0,burst,False,559932,0.302596,38890936,34053148,
0,burst,False,575696,0.31687,41758542,40428074,
0,burst,False,592421,0.286515,24761538,21397908,
