memory,type,is_cold,exec_time,connection_time,client_time,provider_time
2048,warm,False,66836,0.14609,736462,79
2048,warm,False,70374,0.120041,552493,84
2048,warm,False,66204,0.135628,567811,81
2048,warm,False,66341,0.236457,829930,77
2048,warm,False,68594,0.114866,515085,78
2048,warm,False,68681,0.125117,591375,77
2048,warm,False,78443,0.098028,768578,111
2048,warm,False,77851,0.07601,359874,93
2048,warm,False,69448,0.110417,671593,171
2048,warm,False,69710,0.147712,812882,111
2048,warm,False,71826,0.142655,749079,153
2048,warm,False,71097,0.114933,496862,83
2048,warm,False,67883,0.233942,820873,80
2048,warm,False,69300,0.121853,759508,160
2048,warm,False,78045,0.081509,600351,95
2048,warm,False,74579,0.151928,814530,122
2048,warm,False,73242,0.124404,771459,112
2048,warm,False,68385,0.179858,688247,111
2048,warm,False,69711,0.155548,848337,85
2048,warm,False,79198,0.078709,744772,126
2048,warm,False,73907,0.115531,705788,86
2048,warm,False,78145,0.125561,720841,93
2048,warm,False,74225,0.110214,382085,85
2048,warm,False,75641,0.083719,571513,85
2048,warm,False,78355,0.126001,676176,143
2048,warm,False,89537,0.127961,831850,134
2048,warm,False,75101,0.122792,751483,119
2048,warm,False,82194,0.083588,490638,174
2048,warm,False,75093,0.133553,476913,92
2048,warm,False,77557,0.086057,555480,96
2048,warm,False,127604,0.200045,880915,140
2048,warm,False,77679,0.155712,829526,89
2048,warm,False,74334,0.125298,765640,106
2048,warm,False,76609,0.099693,417993,86
2048,warm,False,115303,0.110285,840813,225
2048,warm,False,72003,0.120513,487223,84
2048,warm,False,77700,0.160717,859998,90
2048,warm,False,78304,0.08025,627656,93
2048,warm,False,71844,0.127819,710974,113
2048,warm,False,77170,0.064719,269855,92
2048,warm,False,70170,0.21003,739888,81
2048,warm,False,76543,0.212764,767881,95
2048,warm,False,67764,0.234454,814209,77
2048,warm,False,73469,0.113087,351051,83
2048,warm,False,73345,0.190549,883154,85
2048,warm,False,68466,0.140364,691380,79
2048,warm,False,73534,0.105478,560704,86
2048,warm,False,69155,0.134188,412671,79
2048,warm,False,69839,0.129482,710102,79
2048,warm,False,74507,0.127709,815974,85
2048,warm,False,68360,0.10786,320295,77
2048,warm,False,69691,0.079567,275026,78
2048,warm,False,67105,0.190935,743861,75
2048,warm,False,68151,0.227875,809065,76
2048,warm,False,76667,0.159412,679276,91
2048,warm,False,69083,0.131803,711411,78
2048,warm,False,68595,0.120984,663834,138
2048,warm,False,74756,0.129387,776258,88
2048,warm,False,69977,0.139,762287,78
2048,warm,False,70515,0.185562,798029,86
2048,warm,False,73597,0.138249,722989,86
2048,warm,False,70792,0.229322,831637,85
2048,warm,False,75252,0.142807,700913,89
2048,warm,False,74016,0.081663,650116,116
2048,warm,False,72289,0.134079,756011,134
2048,warm,False,71531,0.231911,864128,125
2048,warm,False,71802,0.111793,541238,111
2048,warm,False,67347,0.128019,706375,77
2048,warm,False,69489,0.156509,852000,79
2048,warm,False,70237,0.094684,603142,79
2048,warm,False,71590,0.153531,839369,82
2048,warm,False,68594,0.136407,736270,78
2048,warm,False,67885,0.12611,609164,80
2048,warm,False,76466,0.159881,665699,88
2048,warm,False,81990,0.079156,463516,97
2048,warm,False,74031,0.154761,549020,86
