#Seconds from epoch.microseconds; Duration in miliseconds
Begin,End,Wallclock,User,Sys
1605051915.114651,1605051915.422695,0.305,0.236,0.033
1605051915.423387,1605051915.732230,0.306,0.244,0.019
1605051915.733255,1605051916.036949,0.301,0.230,0.036
1605051916.037646,1605051916.338549,0.298,0.229,0.036
1605051916.339344,1605051916.634408,0.292,0.225,0.036
1605051916.635238,1605051916.930993,0.293,0.224,0.038
1605051916.931741,1605051917.228292,0.294,0.237,0.023
1605051917.229231,1605051917.522419,0.291,0.228,0.034
1605051917.523289,1605051917.777879,0.252,0.212,0.031
1605051917.778773,1605051918.036266,0.255,0.211,0.035
1605051918.037198,1605051918.292642,0.253,0.213,0.032
1605051918.293662,1605051918.570584,0.275,0.208,0.037
1605051918.571827,1605051918.855839,0.281,0.224,0.033
1605051918.856928,1605051919.113317,0.254,0.229,0.016
1605051919.114503,1605051919.370371,0.254,0.228,0.016
1605051919.371735,1605051919.626197,0.252,0.219,0.024
1605051919.627440,1605051919.880726,0.251,0.222,0.020
1605051919.882115,1605051920.138256,0.254,0.212,0.032
1605051920.139686,1605051920.397654,0.256,0.222,0.024
1605051920.399097,1605051920.652535,0.251,0.214,0.028
1605051920.654098,1605051920.909912,0.254,0.213,0.031
1605051920.911637,1605051921.166772,0.253,0.216,0.028
1605051921.168418,1605051921.422360,0.252,0.206,0.036
1605051921.424070,1605051921.677777,0.251,0.217,0.025
1605051921.679595,1605051921.933794,0.252,0.215,0.028
1605051921.935682,1605051922.191482,0.254,0.216,0.028
1605051922.193475,1605051922.444942,0.249,0.212,0.028
1605051922.447046,1605051922.699687,0.250,0.212,0.030
1605051922.701874,1605051922.956158,0.252,0.223,0.021
1605051922.958462,1605051923.211105,0.250,0.217,0.025
1605051923.213452,1605051923.467240,0.251,0.214,0.029
1605051923.469691,1605051923.730033,0.258,0.218,0.027
1605051923.732760,1605051924.003023,0.268,0.231,0.019
1605051924.005873,1605051924.279234,0.271,0.236,0.017
1605051924.282207,1605051924.541726,0.257,0.208,0.037
1605051924.544544,1605051924.795031,0.248,0.205,0.035
1605051924.797975,1605051925.052664,0.252,0.227,0.017
1605051925.055740,1605051925.312267,0.254,0.214,0.032
1605051925.315595,1605051925.570080,0.252,0.202,0.040
1605051925.573338,1605051925.841998,0.266,0.188,0.057
1605051925.846084,1605051926.109368,0.261,0.212,0.036
1605051926.112891,1605051926.367554,0.252,0.204,0.039
1605051926.371162,1605051926.623644,0.250,0.225,0.016
1605051926.627400,1605051926.879674,0.250,0.212,0.030
1605051926.883601,1605051927.137343,0.251,0.215,0.028
1605051927.141614,1605051927.396708,0.253,0.212,0.032
1605051927.400928,1605051927.655257,0.252,0.239,0.004
1605051927.659515,1605051927.913032,0.251,0.218,0.024
1605051927.917416,1605051928.170688,0.251,0.225,0.017
1605051928.175183,1605051928.430078,0.253,0.203,0.040
1605051928.434753,1605051928.689892,0.253,0.198,0.046
1605051928.694716,1605051928.947507,0.250,0.218,0.023
1605051928.952515,1605051929.207006,0.252,0.215,0.028
1605051929.212100,1605051929.463474,0.249,0.196,0.044
1605051929.468738,1605051929.719639,0.249,0.228,0.012
1605051929.725051,1605051929.975583,0.248,0.203,0.036
1605051929.981059,1605051930.234598,0.251,0.205,0.037
1605051930.240265,1605051930.491696,0.249,0.220,0.021
1605051930.497493,1605051930.750721,0.251,0.225,0.016
1605051930.756684,1605051931.008220,0.249,0.200,0.040
1605051931.014396,1605051931.266799,0.250,0.229,0.012
1605051931.273172,1605051931.526530,0.251,0.205,0.037
