#Seconds from epoch.microseconds; Duration in miliseconds
Begin,End,Wallclock,User,Sys
1605051557.158627,1605051558.922379,1.761,0.330,0.128
1605051558.922970,1605051560.126549,1.201,0.351,0.112
1605051560.127395,1605051560.541351,0.412,0.248,0.034
1605051560.542035,1605051560.956882,0.413,0.214,0.072
1605051560.957561,1605051561.367614,0.408,0.228,0.053
1605051561.368413,1605051561.777566,0.407,0.208,0.075
1605051561.778314,1605051562.198415,0.418,0.201,0.078
1605051562.199440,1605051562.625529,0.423,0.240,0.045
1605051562.626353,1605051563.049984,0.421,0.224,0.049
1605051563.051016,1605051563.474166,0.420,0.250,0.029
1605051563.475083,1605051563.894307,0.417,0.225,0.052
1605051563.895445,1605051564.323378,0.425,0.234,0.055
1605051564.324435,1605051564.763426,0.437,0.233,0.043
1605051564.764732,1605051565.214166,0.447,0.217,0.067
1605051565.215458,1605051565.770913,0.538,0.229,0.053
1605051565.772309,1605051566.180110,0.405,0.226,0.053
1605051566.181365,1605051566.587087,0.403,0.219,0.060
1605051566.588649,1605051567.003034,0.412,0.232,0.047
1605051567.004428,1605051567.427057,0.420,0.203,0.078
1605051567.428802,1605051567.836090,0.405,0.218,0.070
1605051567.837664,1605051568.307491,0.467,0.227,0.061
1605051568.309599,1605051568.719050,0.407,0.195,0.086
1605051568.720718,1605051569.129597,0.407,0.230,0.041
1605051569.131722,1605051569.527976,0.394,0.245,0.033
1605051569.529822,1605051569.930554,0.398,0.232,0.040
1605051569.932929,1605051570.354566,0.419,0.207,0.079
1605051570.356560,1605051570.776885,0.418,0.229,0.049
1605051570.779388,1605051571.235437,0.453,0.232,0.048
1605051571.237944,1605051571.666516,0.426,0.248,0.044
1605051571.669300,1605051572.087107,0.415,0.241,0.040
1605051572.089451,1605051572.499049,0.407,0.214,0.073
1605051572.502114,1605051572.935523,0.431,0.214,0.076
1605051572.938169,1605051573.392979,0.452,0.221,0.063
1605051573.396076,1605051573.800231,0.402,0.215,0.066
1605051573.803192,1605051574.243442,0.438,0.223,0.063
1605051574.248011,1605051574.664999,0.414,0.219,0.061
1605051574.667982,1605051575.086790,0.416,0.240,0.034
1605051575.090479,1605051575.499889,0.407,0.228,0.047
1605051575.503257,1605051575.925794,0.420,0.220,0.057
1605051575.929782,1605051576.340171,0.408,0.248,0.030
1605051576.343602,1605051576.765106,0.419,0.218,0.049
1605051576.769405,1605051577.223662,0.452,0.233,0.049
1605051577.228164,1605051577.649382,0.419,0.221,0.062
1605051577.654069,1605051578.082315,0.426,0.223,0.062
1605051578.086222,1605051578.513261,0.425,0.207,0.072
1605051578.518329,1605051578.941158,0.420,0.231,0.048
1605051578.945346,1605051579.391691,0.444,0.228,0.051
1605051579.397143,1605051579.820335,0.420,0.226,0.055
1605051579.824781,1605051580.243014,0.416,0.249,0.026
1605051580.248615,1605051580.657361,0.406,0.241,0.046
1605051580.662126,1605051581.131364,0.467,0.225,0.048
1605051581.137342,1605051581.540125,0.400,0.230,0.045
1605051581.545201,1605051581.964042,0.416,0.224,0.050
1605051581.970393,1605051582.383703,0.411,0.239,0.039
1605051582.389208,1605051582.857884,0.466,0.207,0.070
1605051582.863784,1605051583.249437,0.383,0.238,0.042
1605051583.255147,1605051583.666773,0.409,0.222,0.059
1605051583.673914,1605051584.077989,0.401,0.216,0.064
1605051584.083910,1605051584.484122,0.398,0.231,0.047
1605051584.491616,1605051584.927527,0.432,0.231,0.055
1605051584.934859,1605051585.355370,0.418,0.235,0.052
1605051585.363249,1605051585.823447,0.458,0.241,0.050
1605051585.830120,1605051586.245411,0.413,0.219,0.059
1605051586.253802,1605051586.661566,0.405,0.230,0.053
1605051586.668807,1605051587.096157,0.425,0.208,0.068
1605051587.104991,1605051587.513799,0.406,0.246,0.039
1605051587.521364,1605051587.931420,0.408,0.211,0.073
1605051587.940669,1605051588.356482,0.413,0.241,0.041
1605051588.364340,1605051588.785245,0.418,0.201,0.072
1605051588.794937,1605051589.204937,0.407,0.227,0.056
1605051589.213115,1605051589.644944,0.429,0.239,0.047
1605051589.656888,1605051590.073109,0.413,0.246,0.040
1605051590.081719,1605051590.488598,0.402,0.218,0.062
1605051590.499109,1605051590.917005,0.415,0.222,0.050
1605051590.926052,1605051591.322288,0.394,0.236,0.041
1605051591.333431,1605051591.748719,0.413,0.220,0.063
1605051591.758132,1605051592.167068,0.407,0.247,0.032
1605051592.178761,1605051592.617808,0.436,0.231,0.050
1605051592.629763,1605051593.067909,0.436,0.219,0.053
1605051593.080313,1605051593.483783,0.401,0.206,0.081
1605051593.494082,1605051593.923265,0.427,0.234,0.035
1605051593.936171,1605051594.338125,0.399,0.220,0.058
1605051594.348940,1605051594.766423,0.415,0.241,0.040
1605051594.779677,1605051595.202674,0.420,0.217,0.061
1605051595.213858,1605051595.655323,0.439,0.211,0.073
1605051595.671958,1605051596.090357,0.416,0.249,0.037
