payload_size,repetition,is_cold,connection_time,start_timestamp,finish_timestamp,request_id,clock_drift_mean,clock_drift_std,invocation_time
1024.0,0,1,2.064934,1597995402.715268,1597995405.420665,704e8307-08bf-40b0-8459-81ebee784ed8,-0.06906554411197531,0.02121834571567876,0.5713975849468625
1024.0,1,1,0.874472,1597995467.351814,1597995468.771047,f299ec23-7bb5-40bd-8b20-8c98d346db55,-0.08915643095970154,0.0009839118684071514,0.455604652765274
1024.0,2,1,0.668558,1597995515.449084,1597995517.074359,5d45f709-b69f-40fb-8170-e582bf8cc6f5,0.2168496434505169,0.34944351410662894,1.173566540072221
1024.0,3,1,0.81238,1597995571.925711,1597995585.578657,97d9056b-dc76-450c-8f8e-e6ce85ccfae8,-0.04731540203094482,0.008387965083650955,12.793250593299867
1024.0,4,1,0.773702,1597995633.339205,1597995643.490569,e8b8d1f0-b844-4ff8-ae3e-08d6ee248a9c,-0.04444482922554016,0.001148800753304739,9.333217258832931
329970.1052631579,0,1,0.552688,1597995681.961152,1597995692.512996,4685b81d-5758-4bbf-b6fd-1f074311da58,-0.039751714351130465,0.01964573849120378,9.959404167255926
329970.1052631579,1,1,1.088198,1597995760.628986,1597995763.153506,65cff3c9-ba1a-4f97-b09d-27707f74c859,-0.058261603116989136,0.01136681382577295,1.378060555650711
329970.1052631579,2,1,0.735366,1597995809.589577,1597995812.962157,a5bab1e0-0a50-40a1-ae3b-6b5fc89ae191,-0.04012706756591797,0.015105337030432927,2.5970869838562014
329970.1052631579,3,1,0.873483,1597995870.75081,1597995880.538363,3d448ced-a91e-44d8-8f2b-abe1d6801266,-0.03795745372772217,0.008499525886059971,8.876112618247985
329970.1052631579,4,1,0.671141,1597995930.50894,1597995944.283699,4400430a-fc78-4913-8838-e0edd1f29bfb,-0.04634926762691764,0.024297483908771567,13.057268786557042
658916.2105263158,0,1,1.074647,1597995993.860103,1597996001.397987,7762e73a-69ab-4cf4-82e1-6b44bb4cd252,-0.2725789501116826,0.00973566150616425,6.190658046851818
658916.2105263158,1,1,1.084086,1597996056.06771,1597996059.405368,658e703c-b7e7-4f0a-82a9-edd8c77376f2,-0.035730441411336265,0.01526650886788876,2.2178417254740395
658916.2105263158,2,1,0.564992,1597996112.358354,1597996123.955223,29040c55-63be-48ca-aaad-b86a57188712,-0.044598615169525145,0.0014052674563983813,10.987278376682282
658916.2105263158,3,1,0.866665,1597996181.949446,1597996185.532472,f5c2846d-7826-4773-b0b0-ad8d5beed488,-0.045025447140569275,0.011219290877401195,2.671335485171442
658916.2105263158,4,1,0.870062,1597996274.864334,1597996278.158128,768bd090-dfac-4aed-9db9-c816387a5e91,-0.04960976243019104,0.0006388008441848787,2.3741221542720794
987862.3157894737,0,1,0.872722,1597996345.983426,1597996349.146313,70d5f443-425a-4095-96f7-ffe346c47f8f,-0.05703034996986389,0.015359304156664345,2.2331345080165863
987862.3157894737,1,1,0.773183,1597996398.478376,1597996409.52528,1505110e-6f19-421d-aca6-ef692f30d54c,-0.051333228747049965,0.013120134562419653,10.222387858319602
987862.3157894737,2,1,0.884912,1597996458.4434,1597996462.60631,aea847c7-91f7-42bf-87a6-37745cae7f9f,-0.04499050676822662,0.018293069363770904,3.2330074778203963
987862.3157894737,3,1,0.869195,1597996518.621601,1597996521.771673,87809264-7f04-467d-b928-8578000e1db9,-0.0346460013554014,0.014320325490799162,2.2462308580043397
987862.3157894737,4,1,2.082361,1597996580.447255,1597996585.1451,5d01be3c-42d7-4125-8241-52f79963cc66,-0.06147156821356879,0.01357734797010602,2.554012652352227
1316808.4210526317,0,1,0.871131,1597996636.301816,1597996641.526137,eea3b83b-00a7-4495-9a87-92a8a502b5f3,-0.03118265758861195,0.01768673327923684,4.322007469349254
1316808.4210526317,1,1,0.775738,1597996690.12376,1597996704.487772,7aa1a2ba-0865-43ef-a23c-fc88b14387d3,-0.043277227216296725,0.01514157863737626,13.544996775728649
1316808.4210526317,2,1,0.775186,1597996761.35039,1597996765.294065,5995a661-62e8-4605-9e1f-e1a8639ce028,-0.33810819898332867,0.030425431328093933,2.8303808422154018
1316808.4210526317,3,1,0.876457,1597996819.678163,1597996823.265812,d65eea22-5514-4a9c-872f-45382e7d0d20,-0.24495213253553524,0.011911075985840368,2.4662397360252557
1316808.4210526317,4,1,0.870814,1597996875.966384,1597996880.334271,0d4effbd-f8ff-4feb-b3fa-262d16e38811,-0.041593772172927854,0.0006719146482610793,3.4554792479381558
1645754.5263157897,0,1,0.763956,1597996927.033893,1597996931.284736,ddeb0abc-c2ce-404c-a86d-10813cdb05e1,-0.03833272290784259,0.01685174820188766,3.4485540867692817
