#Seconds from epoch.microseconds; Duration in miliseconds
Begin,End,Wallclock,User,Sys
1605552726.051458,1605552726.745478,0.691,0.378,0.094
1605552726.746069,1605552727.510924,0.738,0.386,0.084
1605552727.511806,1605552728.272874,0.759,0.380,0.071
1605552728.273551,1605552728.989022,0.713,0.396,0.066
1605552728.989732,1605552729.753948,0.762,0.363,0.094
1605552729.754675,1605552730.865911,1.109,0.355,0.109
1605552730.866701,1605552746.707609,15.839,0.376,0.091
1605552746.708482,1605552747.411309,0.700,0.385,0.071
1605552747.412157,1605552748.005129,0.591,0.382,0.064
1605552748.006083,1605552748.712964,0.705,0.375,0.095
1605552748.713958,1605552749.322029,0.606,0.368,0.095
1605552749.323051,1605552751.521969,2.197,0.348,0.103
1605552751.523011,1605552752.248354,0.723,0.386,0.074
1605552752.249452,1605552752.931235,0.679,0.390,0.067
1605552752.932406,1605552753.643590,0.709,0.382,0.082
1605552753.644845,1605552754.298955,0.652,0.398,0.059
1605552754.300245,1605552755.016356,0.714,0.384,0.080
1605552755.017764,1605552755.864674,0.845,0.379,0.073
1605552755.866129,1605552756.506070,0.638,0.371,0.079
1605552756.507573,1605552757.800437,1.290,0.377,0.081
1605552757.802072,1605552758.455464,0.651,0.389,0.064
1605552758.457087,1605552759.119259,0.660,0.403,0.066
1605552759.120980,1605552759.922616,0.799,0.398,0.063
1605552759.924407,1605552760.533254,0.607,0.404,0.057
1605552760.535189,1605552761.219136,0.682,0.368,0.092
1605552761.221117,1605552761.829011,0.606,0.360,0.090
1605552761.831110,1605552762.531475,0.698,0.376,0.082
1605552762.533647,1605552763.156190,0.620,0.382,0.075
1605552763.158458,1605552763.843028,0.682,0.358,0.099
1605552763.845340,1605552764.544802,0.697,0.389,0.069
1605552764.547245,1605552765.262517,0.713,0.368,0.068
1605552765.265033,1605552766.099065,0.832,0.392,0.060
1605552766.101726,1605552766.826334,0.722,0.369,0.073
1605552766.829000,1605552767.509680,0.678,0.387,0.064
1605552767.512521,1605552768.150243,0.635,0.387,0.073
1605552768.153137,1605552768.931184,0.776,0.362,0.088
1605552768.934217,1605552769.686649,0.750,0.361,0.090
1605552769.689923,1605552770.317049,0.625,0.393,0.070
1605552770.320392,1605552771.026104,0.703,0.396,0.061
1605552771.029588,1605552771.731792,0.700,0.401,0.066
1605552771.735325,1605552772.465038,0.727,0.367,0.103
1605552772.468680,1605552773.148986,0.678,0.400,0.049
1605552773.152719,1605552773.866755,0.712,0.394,0.073
1605552773.870663,1605552776.004001,2.131,0.406,0.040
1605552776.008009,1605552776.620839,0.610,0.390,0.057
1605552776.624998,1605552777.261991,0.635,0.371,0.098
1605552777.266251,1605552777.982919,0.714,0.381,0.080
1605552777.987318,1605552778.820747,0.831,0.372,0.082
1605552778.825294,1605552779.501956,0.674,0.386,0.078
1605552779.506670,1605552780.131301,0.622,0.359,0.121
1605552780.136168,1605552780.802740,0.664,0.350,0.109
1605552780.807796,1605552799.453417,18.643,0.423,0.046
1605552799.458656,1605552800.206594,0.746,0.376,0.096
1605552800.211940,1605552802.023739,1.809,0.379,0.084
1605552802.029155,1605552802.665014,0.634,0.383,0.085
1605552802.670595,1605552803.352390,0.680,0.366,0.099
1605552803.358174,1605552803.983067,0.623,0.382,0.088
1605552803.989006,1605552804.681268,0.690,0.376,0.072
1605552804.687334,1605552805.293434,0.604,0.403,0.060
1605552805.299653,1605552805.975527,0.673,0.374,0.093
1605552805.981917,1605552806.699283,0.715,0.375,0.078
1605552806.705860,1605552807.374923,0.667,0.359,0.101
1605552807.381758,1605552808.458240,1.074,0.386,0.076
1605552808.465148,1605552809.201016,0.734,0.353,0.092
1605552809.208193,1605552809.894709,0.684,0.362,0.099
1605552809.902190,1605552810.587572,0.683,0.371,0.084
1605552810.595051,1605552811.757135,1.160,0.370,0.086
1605552811.764794,1605552812.430894,0.664,0.386,0.058
1605552812.438689,1605552813.109434,0.668,0.378,0.075
1605552813.117450,1605552814.210241,1.090,0.379,0.084
1605552814.218432,1605552814.950946,0.730,0.390,0.070
1605552814.959377,1605552815.642397,0.681,0.361,0.102
1605552815.651019,1605552816.436199,0.783,0.351,0.099
1605552816.445092,1605552817.128275,0.681,0.371,0.085
1605552817.137344,1605552817.771374,0.632,0.364,0.085
1605552817.780551,1605552818.437610,0.655,0.370,0.103
1605552818.447169,1605552819.074835,0.625,0.366,0.095
1605552819.084496,1605552819.796933,0.710,0.388,0.077
1605552819.806998,1605552820.623005,0.814,0.365,0.100
1605552820.633226,1605552821.414414,0.779,0.381,0.081
1605552821.424837,1605552822.054960,0.628,0.405,0.053
1605552822.065699,1605552822.893448,0.825,0.390,0.073
1605552822.904271,1605552823.693033,0.786,0.370,0.073
1605552823.704103,1605552824.730233,1.024,0.377,0.081
1605552824.741611,1605552825.421072,0.677,0.374,0.069
1605552825.432568,1605552826.525924,1.091,0.363,0.086
1605552826.537739,1605552827.330944,0.791,0.379,0.094
1605552827.343036,1605552828.168066,0.823,0.388,0.075
1605552828.180309,1605552828.868997,0.686,0.382,0.082
1605552828.881404,1605552829.502022,0.618,0.374,0.089
1605552829.514642,1605552832.979871,3.463,0.396,0.051
1605552832.992867,1605552833.791579,0.796,0.330,0.142
1605552833.804805,1605552834.543971,0.737,0.390,0.075
1605552834.557404,1605552835.225278,0.665,0.367,0.084
1605552835.239106,1605552835.975927,0.734,0.370,0.094
1605552835.989877,1605552836.694940,0.703,0.384,0.065
1605552836.709280,1605552839.385258,2.674,0.394,0.083
1605552839.399715,1605552840.365059,0.963,0.364,0.097
1605552840.379791,1605552841.359076,0.977,0.382,0.088
1605552841.374285,1605552845.445660,4.069,0.367,0.103
1605552845.460866,1605552846.151417,0.688,0.360,0.103
1605552846.167054,1605552846.860035,0.691,0.381,0.068
1605552846.875779,1605552847.591720,0.714,0.385,0.073
1605552847.607733,1605552848.293141,0.683,0.381,0.080
1605552848.309729,1605552848.971415,0.659,0.381,0.077
1605552848.987966,1605552849.739175,0.749,0.374,0.088
1605552849.756087,1605552850.656624,0.898,0.381,0.078
1605552850.674024,1605552851.556562,0.880,0.397,0.061
1605552851.574085,1605552852.269642,0.693,0.374,0.077
1605552852.287457,1605552853.068621,0.779,0.390,0.065
1605552853.086852,1605552853.790011,0.701,0.374,0.092
1605552853.808385,1605552854.510248,0.700,0.354,0.102
1605552854.528931,1605552855.209215,0.678,0.381,0.076
1605552855.229275,1605552855.901934,0.670,0.396,0.072
1605552855.922395,1605552856.553268,0.628,0.383,0.098
1605552856.574269,1605552857.251513,0.675,0.348,0.116
1605552857.271404,1605552858.022248,0.748,0.400,0.065
1605552858.042463,1605552858.795148,0.750,0.381,0.081
1605552858.815603,1605552859.497228,0.679,0.395,0.066
1605552859.518140,1605552860.230061,0.710,0.394,0.075
1605552860.251116,1605552860.995718,0.742,0.372,0.086
1605552861.017186,1605552861.676498,0.657,0.407,0.049
1605552861.698130,1605552862.350019,0.650,0.360,0.103
1605552862.372135,1605552862.970399,0.596,0.362,0.096
1605552862.993310,1605552863.589857,0.594,0.382,0.080
1605552863.612472,1605552864.271095,0.656,0.393,0.071
1605552864.294267,1605552864.974592,0.678,0.388,0.066
1605552864.997908,1605552865.623208,0.623,0.372,0.082
1605552865.646879,1605552866.285945,0.637,0.359,0.103
1605552866.310274,1605552867.004413,0.692,0.384,0.075
1605552867.028892,1605552867.754366,0.723,0.356,0.105
1605552867.779272,1605552868.489068,0.708,0.368,0.099
1605552868.514306,1605552869.251840,0.735,0.389,0.079
1605552869.277545,1605552870.373192,1.093,0.371,0.089
1605552870.399012,1605552871.046983,0.646,0.380,0.073
1605552871.073196,1605552871.697813,0.622,0.393,0.065
1605552871.724392,1605552872.476741,0.750,0.381,0.068
1605552872.503651,1605552873.188506,0.683,0.343,0.107
1605552873.215926,1605552874.099596,0.881,0.366,0.102
1605552874.127361,1605552874.833515,0.704,0.414,0.047
1605552874.861694,1605552875.586236,0.722,0.377,0.080
1605552875.615034,1605552876.302071,0.685,0.389,0.071
1605552876.331205,1605552877.036736,0.703,0.397,0.068
1605552877.066251,1605552877.694240,0.626,0.384,0.085
1605552877.723818,1605552878.327390,0.601,0.380,0.090
