#Seconds from epoch.microseconds; Duration in miliseconds
Begin,End,Wallclock,User,Sys
1605054317.327291,1605054322.352254,4.999,1.699,0.472
1605054322.353633,1605054325.493840,3.130,1.588,0.548
1605054325.495618,1605054328.431554,2.927,1.564,0.514
1605054328.432247,1605054331.304727,2.864,1.584,0.502
1605054331.305495,1605054334.251421,2.924,1.565,0.527
1605054334.252157,1605054337.106678,2.846,1.612,0.457
1605054337.107464,1605054339.969649,2.854,1.614,0.467
1605054339.970462,1605054343.054408,3.076,1.538,0.536
1605054343.055289,1605054345.912010,2.843,1.643,0.455
1605054345.912903,1605054348.840893,2.920,1.605,0.449
1605054348.841888,1605054351.678102,2.828,1.643,0.432
1605054351.679128,1605054354.539125,2.852,1.580,0.494
1605054354.540181,1605054357.361395,2.813,1.588,0.493
1605054357.362538,1605054360.244155,2.873,1.547,0.540
1605054360.245448,1605054363.110341,2.857,1.600,0.491
1605054363.111568,1605054365.993704,2.874,1.558,0.535
1605054365.994994,1605054368.868185,2.865,1.575,0.503
1605054368.869569,1605054371.703938,2.826,1.563,0.506
1605054371.705361,1605054374.590055,2.878,1.577,0.489
1605054374.591524,1605054377.349984,2.752,1.544,0.504
1605054377.351535,1605054380.129318,2.772,1.573,0.502
1605054380.131137,1605054382.984753,2.847,1.544,0.526
1605054382.986442,1605054385.804441,2.812,1.570,0.512
1605054385.806221,1605054388.750988,2.919,1.525,0.547
1605054388.752853,1605054391.590084,2.831,1.535,0.556
1605054391.591959,1605054394.671109,3.074,1.565,0.500
1605054394.673132,1605054397.718181,3.039,1.586,0.487
1605054397.720245,1605054400.499447,2.773,1.515,0.561
1605054400.501648,1605054403.257618,2.750,1.616,0.458
1605054403.259845,1605054406.049267,2.784,1.622,0.447
1605054406.051649,1605054408.850740,2.794,1.586,0.484
1605054408.853154,1605054411.701424,2.842,1.596,0.476
1605054411.703994,1605054414.518766,2.809,1.560,0.520
1605054414.521378,1605054417.430487,2.903,1.604,0.515
1605054417.433210,1605054420.304058,2.858,1.583,0.510
1605054420.306932,1605054423.228277,2.916,1.615,0.466
1605054423.231262,1605054426.094275,2.857,1.561,0.522
1605054426.097394,1605054428.921225,2.818,1.576,0.497
1605054428.924432,1605054431.689538,2.759,1.596,0.497
1605054431.692855,1605054434.459207,2.760,1.531,0.534
1605054434.462706,1605054437.214887,2.747,1.604,0.467
1605054437.218427,1605054439.989595,2.766,1.541,0.537
1605054439.993193,1605054442.749427,2.750,1.578,0.506
1605054442.753398,1605054445.635862,2.877,1.519,0.548
1605054445.639933,1605054448.381628,2.736,1.541,0.529
1605054448.385724,1605054451.153013,2.762,1.570,0.496
1605054451.157132,1605054453.921074,2.758,1.591,0.477
1605054453.925329,1605054456.671138,2.740,1.600,0.469
1605054456.675526,1605054459.450794,2.770,1.552,0.504
1605054459.455358,1605054462.248485,2.787,1.565,0.504
1605054462.253181,1605054465.123172,2.840,1.609,0.482
1605054465.128071,1605054467.909272,2.776,1.606,0.474
1605054467.914292,1605054470.773923,2.854,1.586,0.481
1605054470.779017,1605054473.600137,2.815,1.546,0.520
1605054473.605482,1605054476.352614,2.741,1.599,0.462
1605054476.358035,1605054479.136967,2.773,1.563,0.511
1605054479.142628,1605054482.036650,2.888,1.575,0.539
1605054482.042349,1605054484.967389,2.919,1.539,0.557
1605054484.973263,1605054487.761160,2.782,1.517,0.563
1605054487.767156,1605054490.697843,2.925,1.589,0.509
1605054490.704135,1605054493.471825,2.762,1.629,0.448
1605054493.478250,1605054496.286522,2.802,1.503,0.592
1605054496.293017,1605054499.034348,2.736,1.607,0.458
1605054499.041033,1605054501.817928,2.771,1.547,0.539
1605054501.824807,1605054504.651246,2.821,1.608,0.491
1605054504.658383,1605054507.409415,2.745,1.538,0.529
1605054507.417060,1605054510.178199,2.756,1.525,0.542
1605054510.185665,1605054513.042643,2.851,1.578,0.482
1605054513.050295,1605054515.915714,2.860,1.542,0.511
1605054515.923478,1605054518.700315,2.771,1.491,0.567
1605054518.708301,1605054521.419006,2.705,1.515,0.545
1605054521.427104,1605054524.144415,2.712,1.563,0.493
1605054524.152824,1605054526.910461,2.752,1.602,0.470
1605054526.919353,1605054529.697308,2.772,1.589,0.492
1605054529.706546,1605054532.539298,2.827,1.638,0.453
1605054532.548284,1605054535.400679,2.844,1.587,0.508
1605054535.409938,1605054538.204624,2.788,1.562,0.526
1605054538.214075,1605054540.997536,2.778,1.611,0.486
1605054541.007117,1605054543.886503,2.873,1.567,0.541
1605054543.896369,1605054546.774327,2.872,1.557,0.533
1605054546.784414,1605054549.567205,2.777,1.587,0.482
1605054549.577435,1605054552.356561,2.773,1.639,0.436
1605054552.366997,1605054555.154298,2.782,1.614,0.477
1605054555.164909,1605054557.996889,2.826,1.572,0.502
1605054558.007870,1605054560.835481,2.822,1.575,0.494
1605054560.846666,1605054563.589247,2.737,1.574,0.504
1605054563.600578,1605054566.355412,2.749,1.568,0.509
1605054566.367044,1605054569.116513,2.744,1.565,0.487
1605054569.128326,1605054571.879249,2.745,1.615,0.467
1605054571.891808,1605054574.683774,2.786,1.613,0.467
1605054574.696082,1605054577.444589,2.742,1.527,0.538
1605054577.457017,1605054580.160752,2.698,1.577,0.492
1605054580.173402,1605054582.919079,2.740,1.613,0.448
1605054582.932454,1605054585.709232,2.771,1.550,0.512
1605054585.722577,1605054588.418636,2.690,1.572,0.482
1605054588.432128,1605054591.140926,2.703,1.596,0.473
1605054591.154685,1605054593.912642,2.752,1.577,0.496
1605054593.926926,1605054596.672522,2.740,1.540,0.536
1605054596.686852,1605054599.634015,2.884,1.641,0.451
1605054599.648722,1605054602.601168,2.947,1.720,0.486
1605054602.616001,1605054605.485256,2.863,1.594,0.487
1605054605.500468,1605054608.286408,2.780,1.603,0.498
1605054608.301825,1605054611.083765,2.775,1.558,0.526
