#Seconds from epoch.microseconds; CPU times are in microseconds
Begin,End,Duration,User,Sys
1605553568.340860,1605553574.524392,6183532.0,837909.0,117187.0
1605553574.524938,1605553577.994719,3469781.0,792110.0000000001,92478.0
1605553577.995268,1605553581.208990,3213722.0,798291.0000000001,88936.00000000001
1605553581.209609,1605553583.805585,2595976.0,774252.9999999999,119312.99999999994
1605553583.806192,1605553586.635077,2828885.0,782001.0000000006,110583.99999999996
1605553586.635739,1605553589.237929,2602190.0,785864.0000000001,91507.0
1605553589.238636,1605553592.038986,2800350.0,808906.9999999997,84994.99999999993
1605553592.039744,1605553594.950553,2910809.0,779529.0000000001,105986.00000000003
1605553594.951327,1605553597.678386,2727059.0,797682.9999999993,96102.99999999994
1605553597.681165,1605553600.238835,2557670.0,786866.9999999991,94295.00000000013
1605553600.239717,1605553602.798359,2558642.0,781307.0,93091.99999999996
1605553602.799320,1605553605.333581,2534261.0,772140.9999999995,118184.99999999999
1605553605.334553,1605553609.051844,3717291.0,806415.9999999987,78548.00000000006
1605553609.052872,1605553612.170950,3118078.0,841956.999999999,46480.00000000008
1605553612.172196,1605553615.510089,3337893.0,812236.0000000003,70203.99999999993
1605553615.511268,1605553618.271905,2760637.0,779019.9999999992,98866.00000000012
1605553618.273129,1605553620.960271,2687142.0,832460.9999999986,54979.00000000011
1605553620.961618,1605553624.341719,3380101.0,799378.0000000008,97818.99999999988
1605553624.343084,1605553627.266598,2923514.0,787752.0000000012,98297.00000000007
1605553627.268010,1605553630.191515,2923505.0,818406.9999999987,59441.99999999999
1605553630.193021,1605553633.851755,3658734.0,844319.0000000022,72014.00000000003
1605553633.853359,1605553636.620067,2766708.0,810584.9999999997,105709.99999999975
1605553636.621773,1605553639.219614,2597841.0,761549.9999999998,106692.00000000023
1605553639.221336,1605553642.009954,2788618.0,802942.0000000016,92276.99999999972
1605553642.011765,1605553644.682896,2671131.0,790654.0,86886.99999999994
1605553644.684805,1605553647.590296,2905491.0,808925.9999999995,85863.99999999994
1605553647.592319,1605553650.761345,3169026.0,834263.0,74826.99999999997
1605553650.763487,1605553653.583719,2820232.0,769390.9999999988,127879.00000000007
1605553653.585927,1605553656.146707,2560780.0,774332.0000000012,99485.00000000004
1605553656.148952,1605553658.599680,2450728.0,782228.9999999974,98831.99999999981
1605553658.605685,1605553661.296088,2690403.0,770495.0000000003,86507.99999999981
1605553661.298602,1605553663.711074,2412472.0,777689.0000000023,92470.00000000006
1605553663.713637,1605553666.078015,2364378.0,779629.9999999974,111043.0
1605553666.080740,1605553668.981510,2900770.0,777960.0000000002,110066.00000000022
1605553668.984482,1605553671.400137,2415655.0,812498.0000000015,58699.00000000028
1605553671.403096,1605553674.380823,2977727.0,757074.9999999969,115183.99999999974
1605553674.383835,1605553677.022443,2638608.0,773362.9999999998,103121.99999999994
1605553677.025658,1605553679.625522,2599864.0,768115.9999999992,117734.0
1605553679.628753,1605553682.156373,2527620.0,797587.0,92553.9999999998
1605553682.159771,1605553685.224155,3064384.0,799292.9999999987,97825.00000000028
1605553685.227688,1605553688.256772,3029084.0,821421.0000000008,87883.99999999985
1605553688.260448,1605553691.251214,2990766.0,781072.9999999992,114550.99999999962
1605553691.255018,1605553694.232648,2977630.0,822259.0000000026,64434.00000000033
1605553694.236569,1605553697.068281,2831712.0,797965.9999999953,116727.00000000003
1605553697.072283,1605553699.524486,2452203.0,798585.0000000028,90694.9999999993
1605553699.528681,1605553702.211580,2682899.0,801091.999999997,95943.00000000012
1605553702.215866,1605553704.995533,2779667.0,794812.9999999978,88294.00000000032
1605553704.999909,1605553707.927166,2927257.0,781110.9999999957,102540.00000000029
1605553707.931705,1605553711.164929,3233224.0,804737.0000000029,82281.00000000004
1605553711.169759,1605553714.517532,3347773.0,824179.0000000009,60696.00000000008
1605553714.522461,1605553717.264765,2742304.0,779575.0000000013,92412.00000000038
1605553717.269821,1605553720.327721,3057900.0,825495.9999999941,65604.9999999997
1605553720.332859,1605553723.108295,2775436.0,813364.0,89871.99999999972
1605553723.113665,1605553726.360582,3246917.0,796502.9999999942,85018.0000000007
1605553726.366082,1605553729.084594,2718512.0,792857.000000005,76451.99999999974
1605553729.090325,1605553731.893090,2802765.0,781023.0000000047,123166.99999999958
1605553731.898989,1605553734.558455,2659466.0,784041.000000002,110623.00000000036
1605553734.564444,1605553737.185605,2621161.0,768303.000000003,98314.00000000023
1605553737.191789,1605553739.880279,2688490.0,760173.0000000017,115580.00000000047
1605553739.886717,1605553742.885822,2999105.0,828518.0000000026,65440.99999999986
1605553742.892472,1605553745.668002,2775530.0,787193.9999999995,114621.99999999978
1605553745.675255,1605553748.477777,2802522.0,793519.0000000034,110867.00000000071
1605553748.484669,1605553751.405727,2921058.0,839091.0000000034,62230.00000000045
1605553751.412894,1605553754.511775,3098881.0,781199.0000000008,122522.00000000001
1605553754.519065,1605553758.730957,4211892.0,819848.9999999978,89157.9999999994
1605553758.738449,1605553762.659887,3921438.0,815928.999999997,80325.0000000002
1605553762.667677,1605553765.891519,3223842.0,793178.0000000047,92534.99999999981
1605553765.899604,1605553768.862933,2963329.0,796732.9999999962,98424.99999999977
1605553768.871076,1605553772.821449,3950373.0,778661.9999999971,112776.0000000002
1605553772.829687,1605553775.771611,2941924.0,800897.0000000062,97094.00000000023
1605553775.780110,1605553778.495695,2715585.0,813943.0000000019,90245.00000000035
1605553778.504423,1605553781.209791,2705368.0,807432.999999996,68725.99999999984
1605553781.218740,1605553784.037352,2818612.0,829954.0000000007,57678.00000000012
1605553784.046469,1605553786.844887,2798418.0,777704.0,89983.00000000015
1605553786.854181,1605553789.485839,2631658.0,804299.0000000003,89959.99999999959
1605553789.495431,1605553791.980875,2485444.0,805899.0000000037,80006.00000000001
1605553791.990660,1605553794.509040,2518380.0,765276.9999999976,108520.99999999965
1605553794.519003,1605553797.207221,2688218.0,788471.0000000013,88422.00000000045
1605553797.217410,1605553800.041400,2823990.0,781638.0000000009,90516.00000000004
1605553800.051942,1605553803.736021,3684079.0,835720.000000002,82631.00000000012
1605553803.747056,1605553807.237221,3490165.0,830831.0000000034,80370.00000000028
1605553807.248179,1605553810.804831,3556652.0,794719.9999999981,97887.00000000006
1605553810.818878,1605553813.717128,2898250.0,796837.0000000107,100975.00000000004
1605553813.728714,1605553816.747081,3018367.0,832765.9999999923,89833.0000000005
1605553816.758753,1605553820.091729,3332976.0,810443.0000000065,76221.99999999956
1605553820.103632,1605553823.132088,3028456.0,796175.0000000052,79534.00000000065
1605553823.144333,1605553825.997950,2853617.0,787605.9999999967,95013.00000000157
1605553826.010498,1605553828.739868,2729370.0,797363.0000000043,84751.00000000068
1605553828.752567,1605553831.669440,2916873.0,801037.000000008,89378.99999999921
1605553831.682435,1605553837.139046,5456611.0,821133.0000000033,82240.00000000054
1605553837.152532,1605553841.297141,4144609.0,829537.000000002,71422.0000000001
1605553841.310881,1605553846.112420,4801539.0,768309.9999999997,123153.99999999953
1605553846.126215,1605553849.700023,3573808.0,821117.0000000009,66948.00000000001
1605553849.714123,1605553852.982661,3268538.0,819741.0000000076,92940.00000000047
1605553852.997004,1605553855.799455,2802451.0,787199.9999999986,93704.00000000067
1605553855.814109,1605553858.345194,2531085.0,759214.9999999976,125544.99999999891
1605553858.360093,1605553862.913867,4553774.0,801057.9999999976,91140.0000000011
1605553862.928812,1605553866.039024,3110212.0,797871.0000000007,98623.99999999916
1605553866.054613,1605553868.976566,2921953.0,809840.9999999916,75215.00000000003
1605553868.992424,1605553872.606261,3613837.0,840710.0000000014,66084.00000000003
1605553872.622308,1605553875.245844,2623536.0,777730.9999999886,115838.99999999936
1605553875.262150,1605553877.911219,2649069.0,814955.9999999951,66880.99999999863
1605553877.927923,1605553880.899853,2971930.0,782088.0000000016,92171.9999999997
1605553880.916834,1605553883.646467,2729633.0,816292.0000000042,87642.99999999991
1605553883.663557,1605553887.345194,3681637.0,791353.0000000008,82948.99999999927
1605553887.362383,1605553890.207485,2845102.0,797793.9999999962,89140.00000000044
1605553890.225111,1605553893.302627,3077516.0,783994.000000007,109102.00000000003
1605553893.320524,1605553896.252436,2931912.0,783157.0000000028,86043.00000000009
1605553896.270758,1605553898.887032,2616274.0,816434.000000001,78084.99999999974
1605553898.905299,1605553902.116614,3211315.0,784087.999999997,91829.99999999985
