#Seconds from epoch.microseconds; Duration in miliseconds
Begin,End,Wallclock,User,Sys
1605553372.329179,1605553372.955776,0.624,0.390,0.048
1605553372.956359,1605553373.473261,0.507,0.385,0.052
1605553373.474172,1605553374.031862,0.555,0.365,0.068
1605553374.032516,1605553374.588255,0.553,0.383,0.052
1605553374.588932,1605553375.117886,0.527,0.374,0.061
1605553375.118618,1605553375.946540,0.826,0.376,0.063
1605553375.947297,1605553376.526018,0.576,0.369,0.064
1605553376.526840,1605553377.042372,0.513,0.382,0.050
1605553377.043203,1605553377.599603,0.554,0.391,0.047
1605553377.600486,1605553378.131072,0.528,0.363,0.073
1605553378.132011,1605553378.680357,0.546,0.380,0.053
1605553378.681312,1605553379.292530,0.609,0.393,0.044
1605553379.293603,1605553379.881062,0.585,0.380,0.057
1605553379.882176,1605553380.458239,0.574,0.407,0.045
1605553380.459372,1605553381.018213,0.557,0.410,0.029
1605553381.019406,1605553381.568694,0.547,0.424,0.016
1605553381.569984,1605553382.179522,0.607,0.366,0.072
1605553382.180826,1605553382.697747,0.515,0.381,0.052
1605553382.699118,1605553383.239680,0.538,0.351,0.085
1605553383.241118,1605553383.820395,0.577,0.371,0.067
1605553383.821947,1605553384.357325,0.533,0.372,0.068
1605553384.358932,1605553385.031108,0.670,0.369,0.073
1605553385.032755,1605553385.585218,0.550,0.368,0.068
1605553385.586959,1605553386.101379,0.512,0.393,0.050
1605553386.103234,1605553386.659705,0.554,0.412,0.028
1605553386.661600,1605553387.181061,0.517,0.377,0.058
1605553387.183038,1605553387.724373,0.539,0.406,0.024
1605553387.726435,1605553388.410241,0.682,0.410,0.024
1605553388.412350,1605553388.978308,0.564,0.367,0.070
1605553388.980526,1605553389.540279,0.557,0.408,0.032
1605553389.542628,1605553390.090213,0.545,0.382,0.059
1605553390.092631,1605553390.646799,0.552,0.404,0.037
1605553390.649250,1605553391.176504,0.525,0.386,0.048
1605553391.179124,1605553391.755145,0.574,0.390,0.047
1605553391.757819,1605553392.296775,0.537,0.370,0.068
1605553392.299593,1605553392.877557,0.576,0.403,0.041
1605553392.880425,1605553393.515000,0.632,0.404,0.041
1605553393.518027,1605553394.086528,0.566,0.405,0.037
1605553394.089642,1605553394.662138,0.570,0.383,0.054
1605553394.665354,1605553395.209510,0.542,0.384,0.046
1605553395.212786,1605553395.765975,0.551,0.389,0.046
1605553395.769365,1605553396.297079,0.525,0.382,0.053
1605553396.300621,1605553396.905427,0.602,0.392,0.040
1605553396.909689,1605553397.425122,0.513,0.406,0.029
1605553397.428950,1605553397.982282,0.551,0.380,0.061
1605553397.986211,1605553398.557761,0.569,0.378,0.060
1605553398.561770,1605553399.071402,0.507,0.372,0.065
1605553399.075569,1605553399.625818,0.548,0.405,0.033
1605553399.630160,1605553400.235181,0.603,0.369,0.075
1605553400.239627,1605553400.761506,0.519,0.401,0.043
1605553400.766087,1605553401.304685,0.536,0.383,0.059
1605553401.309409,1605553401.866640,0.555,0.397,0.040
1605553401.871592,1605553402.439327,0.565,0.392,0.044
1605553402.444385,1605553402.973336,0.527,0.377,0.056
1605553402.978567,1605553403.501700,0.521,0.377,0.060
1605553403.506986,1605553404.015346,0.506,0.370,0.059
1605553404.020790,1605553404.534981,0.512,0.379,0.050
1605553404.540537,1605553405.061569,0.519,0.384,0.046
1605553405.067350,1605553405.588373,0.519,0.402,0.033
1605553405.594325,1605553406.122084,0.526,0.395,0.041
1605553406.128139,1605553406.639262,0.509,0.390,0.041
1605553406.645450,1605553407.216696,0.569,0.405,0.029
1605553407.223124,1605553407.857023,0.632,0.400,0.035
1605553407.863650,1605553408.402346,0.536,0.391,0.048
1605553408.409296,1605553408.946120,0.534,0.402,0.038
1605553408.953081,1605553409.478914,0.524,0.387,0.049
1605553409.486048,1605553410.050062,0.562,0.411,0.021
1605553410.057359,1605553410.652322,0.593,0.400,0.036
1605553410.659756,1605553411.213302,0.551,0.394,0.037
1605553411.220950,1605553411.737796,0.514,0.404,0.028
1605553411.745688,1605553412.322166,0.574,0.376,0.062
1605553412.330242,1605553412.885501,0.553,0.376,0.061
1605553412.893744,1605553413.485150,0.589,0.390,0.048
1605553413.493779,1605553414.025850,0.530,0.393,0.046
1605553414.034507,1605553414.590419,0.554,0.410,0.032
1605553414.599238,1605553415.131959,0.530,0.403,0.037
1605553415.141043,1605553415.693252,0.550,0.403,0.034
1605553415.702546,1605553416.253966,0.549,0.357,0.075
1605553416.263355,1605553416.788580,0.523,0.377,0.055
1605553416.798310,1605553417.392712,0.592,0.383,0.048
1605553417.402782,1605553417.974400,0.569,0.395,0.042
1605553417.984691,1605553418.569491,0.582,0.401,0.040
1605553418.579958,1605553419.131234,0.549,0.379,0.060
1605553419.141809,1605553419.667552,0.523,0.385,0.049
1605553419.678370,1605553420.223901,0.543,0.412,0.024
1605553420.234880,1605553420.789770,0.553,0.385,0.048
1605553420.800929,1605553421.326745,0.523,0.381,0.053
1605553421.338153,1605553421.873550,0.533,0.386,0.045
1605553421.885139,1605553422.393035,0.506,0.391,0.040
1605553422.404847,1605553422.958246,0.551,0.389,0.044
1605553422.970371,1605553423.514904,0.542,0.375,0.065
1605553423.527245,1605553424.041107,0.512,0.384,0.056
1605553424.053790,1605553424.599476,0.543,0.370,0.068
1605553424.612370,1605553425.213840,0.599,0.398,0.037
1605553425.226893,1605553425.738740,0.510,0.397,0.029
1605553425.752001,1605553426.264915,0.511,0.381,0.048
1605553426.278513,1605553426.777674,0.497,0.382,0.048
1605553426.791605,1605553427.325792,0.532,0.385,0.057
1605553427.339864,1605553427.852452,0.510,0.399,0.040
1605553427.866880,1605553428.390790,0.522,0.357,0.082
1605553428.405356,1605553428.925332,0.518,0.416,0.025
1605553428.940221,1605553429.497026,0.554,0.391,0.049
1605553429.512161,1605553430.040175,0.526,0.393,0.049
1605553430.055745,1605553430.577530,0.519,0.395,0.046
1605553430.593112,1605553431.113875,0.518,0.400,0.039
1605553431.129821,1605553431.655927,0.524,0.378,0.058
1605553431.672046,1605553432.199907,0.526,0.403,0.037
1605553432.216298,1605553432.748423,0.530,0.382,0.056
1605553432.765009,1605553433.277094,0.510,0.393,0.036
1605553433.293925,1605553433.853625,0.557,0.385,0.041
1605553433.870843,1605553434.391661,0.519,0.368,0.064
1605553434.409392,1605553434.929196,0.517,0.391,0.045
1605553434.946992,1605553435.446368,0.497,0.370,0.063
1605553435.464555,1605553435.980477,0.514,0.370,0.063
1605553435.998815,1605553436.537257,0.536,0.390,0.044
1605553436.555943,1605553437.055861,0.498,0.388,0.042
1605553437.074910,1605553437.600120,0.523,0.368,0.064
1605553437.619409,1605553438.159465,0.538,0.364,0.073
1605553438.179248,1605553438.690423,0.509,0.378,0.063
1605553438.710502,1605553439.405009,0.692,0.382,0.052
1605553439.425177,1605553440.052280,0.625,0.391,0.056
1605553440.073030,1605553440.575581,0.500,0.394,0.042
1605553440.596611,1605553441.158830,0.560,0.384,0.056
1605553441.180107,1605553441.709804,0.527,0.415,0.030
1605553441.731426,1605553442.284664,0.551,0.392,0.056
1605553442.306525,1605553442.909597,0.601,0.391,0.044
1605553442.931703,1605553443.513138,0.579,0.413,0.025
1605553443.535676,1605553444.083001,0.545,0.398,0.038
1605553444.105969,1605553444.750943,0.643,0.374,0.066
1605553444.774417,1605553445.346041,0.569,0.366,0.072
1605553445.369800,1605553445.872004,0.500,0.372,0.056
1605553445.896060,1605553446.435153,0.537,0.382,0.055
1605553446.459345,1605553446.992856,0.531,0.371,0.059
1605553447.017407,1605553447.536299,0.517,0.393,0.040
1605553447.561251,1605553448.093147,0.529,0.391,0.051
1605553448.118592,1605553448.661560,0.541,0.403,0.041
1605553448.687304,1605553449.245961,0.556,0.397,0.048
1605553449.272074,1605553449.806695,0.532,0.374,0.065
1605553449.832994,1605553450.384566,0.549,0.393,0.041
1605553450.411228,1605553450.962249,0.549,0.378,0.056
1605553450.989227,1605553451.525637,0.534,0.389,0.050
1605553451.553195,1605553452.071926,0.516,0.381,0.053
1605553452.099671,1605553452.689711,0.587,0.406,0.037
1605553452.717791,1605553453.257507,0.537,0.376,0.062
1605553453.285933,1605553453.806922,0.519,0.370,0.063
1605553453.835834,1605553454.359885,0.522,0.411,0.028
1605553454.389185,1605553454.983775,0.592,0.384,0.053
1605553455.013435,1605553455.531393,0.515,0.381,0.060
1605553455.561792,1605553456.119489,0.555,0.385,0.059
1605553456.150481,1605553456.677194,0.524,0.401,0.043
1605553456.708455,1605553457.287403,0.576,0.377,0.069
1605553457.318837,1605553457.856014,0.535,0.386,0.059
1605553457.887832,1605553458.421663,0.531,0.416,0.028
1605553458.453842,1605553458.997065,0.541,0.393,0.052
1605553459.029381,1605553459.583231,0.551,0.378,0.051
1605553459.615936,1605553460.171796,0.553,0.358,0.074
1605553460.204974,1605553460.744423,0.537,0.404,0.032
1605553460.777868,1605553461.283339,0.503,0.391,0.046
1605553461.317109,1605553461.833980,0.514,0.374,0.059
1605553461.868388,1605553462.420870,0.550,0.391,0.049
1605553462.455878,1605553462.995221,0.537,0.384,0.054
1605553463.030671,1605553463.660989,0.628,0.359,0.081
1605553463.696675,1605553464.234955,0.536,0.358,0.073
1605553464.270982,1605553464.849505,0.576,0.386,0.049
1605553464.886061,1605553465.477677,0.589,0.371,0.068
1605553465.514728,1605553466.047514,0.530,0.393,0.048
1605553466.085032,1605553466.622509,0.535,0.385,0.056
1605553466.660755,1605553467.214717,0.551,0.385,0.053
1605553467.252988,1605553467.808038,0.553,0.411,0.028
1605553467.846561,1605553468.411728,0.563,0.376,0.066
1605553468.450465,1605553469.011700,0.559,0.345,0.088
1605553469.050900,1605553469.617611,0.564,0.395,0.040
1605553469.656730,1605553470.335116,0.676,0.387,0.046
1605553470.375304,1605553470.909366,0.532,0.402,0.036
1605553470.949651,1605553471.517090,0.565,0.383,0.062
1605553471.558036,1605553472.094116,0.534,0.377,0.062
1605553472.134994,1605553472.665003,0.528,0.385,0.052
1605553472.706471,1605553473.229661,0.521,0.384,0.048
1605553473.271724,1605553473.785752,0.512,0.356,0.081
1605553473.828280,1605553474.425052,0.594,0.394,0.046
1605553474.467984,1605553474.994402,0.524,0.396,0.046
1605553475.037904,1605553475.649612,0.609,0.385,0.050
1605553475.693590,1605553476.219585,0.524,0.374,0.064
1605553476.263827,1605553476.819581,0.553,0.399,0.036
1605553476.864183,1605553477.404503,0.538,0.390,0.054
1605553477.450267,1605553477.998642,0.546,0.384,0.058
1605553478.044572,1605553478.586271,0.539,0.386,0.048
1605553478.633180,1605553479.168034,0.532,0.365,0.068
1605553479.214607,1605553479.732438,0.515,0.389,0.042
1605553479.779528,1605553480.300570,0.519,0.365,0.072
1605553480.348202,1605553480.910351,0.560,0.415,0.024
1605553480.958150,1605553481.496382,0.536,0.389,0.048
1605553481.545196,1605553482.126495,0.579,0.348,0.084
1605553482.175302,1605553482.702977,0.525,0.365,0.068
1605553482.752348,1605553483.278808,0.524,0.367,0.065
1605553483.328724,1605553483.884450,0.553,0.380,0.056
