payload_size,repetition,is_cold,connection_time,start_timestamp,finish_timestamp,request_id,clock_drift_mean,clock_drift_std,invocation_time
1024,0,1,0.233777,1604974249.687951,1604974250.224643,ec6eo0konfwy,-0.017228875587235636,0.039379264648805264,0.2856860284807575
1024,1,0,0.074421,1604974278.968552,1604974279.112284,ec6e5u37drj4,-0.012202243472254553,0.03497042885398344,0.057108589032017903
1024,2,0,0.062098,1604974290.231859,1604974290.365448,ec6ew6o3rl99,-0.03069494664669037,0.04035477192242202,0.04079608266544342
1024,3,0,0.07119,1604974297.808172,1604974298.02614,ec6e7ogdlq7h,-0.015157531808923793,0.03324173847994859,0.13162045525162308
1024,4,0,0.060817,1604974305.179334,1604974305.329048,ec6eazg8md47,-0.02310961816045973,0.04633034325435683,0.06578737491205003
329970,0,0,0.062966,1604974315.633131,1604974316.018094,ec6ezx5ep8v2,-0.013717819343913685,0.033116515263472715,0.30827921623958243
329970,1,0,0.06909,1604974321.775511,1604974322.448589,ec6elqagx51j,-0.013748163268679664,0.036965372781994923,0.5902398968814668
329970,2,0,0.06159,1604974333.246656,1604974333.82603,ec6eczuz8dkf,-0.014274544494096623,0.03539975601180166,0.5035095304418165
329970,3,0,0.046016,1604974345.524712,1604974346.150795,ec6ekwbcrsx0,-0.022002633412679037,0.047882877090078706,0.5580642637736002
329970,4,0,0.07295,1604974366.626807,1604974367.328361,ec6e3sucocgn,-0.019623798590440018,0.04266319315938565,0.6089802613918598
658916,0,0,0.062206,1604974383.960666,1604974384.696887,ec6e4w6noqya,-0.01923210620880127,0.051173612616819776,0.6547829688491822
658916,1,0,0.049308,1604974390.800774,1604974391.515849,ec6eb2zbcsqf,-0.03745806813240051,0.05057399745540895,0.628308947889328
658916,2,0,0.055076,1604974397.555066,1604974398.224551,ec6eap766mu3,-0.020557539216403305,0.05216065626487826,0.5938513145281035
658916,3,0,0.070386,1604974406.776637,1604974407.534881,ec6e3vwrk1pk,-0.02836045135151256,0.05010587370550246,0.6594975862766612
658916,4,0,0.060779,1604974422.945531,1604974423.630726,ec6eb9phqfhs,-0.01925752692752414,0.04350939375284216,0.605158680668301
987862,0,0,0.057173,1604974435.448417,1604974436.326134,ec6e1vyx2mf6,-0.02542838343867549,0.05924050566353176,0.7951156346887659
987862,1,0,0.059827,1604974444.449654,1604974445.151193,ec6ejdp91zl4,-0.0340703162279996,0.05348469618669946,0.6076414849652377
987862,2,0,0.050426,1604974462.061336,1604974462.794975,ec6e99l9t2gs,-0.024876613365976435,0.04128394333025711,0.658336388480337
987862,3,0,0.05725,1604974473.538624,1604974474.325244,ec6e8vu3w1fh,-0.016128229372429127,0.05076262556621787,0.7132416722846754
987862,4,0,0.058633,1604974483.771805,1604974484.628103,ec6ehsv2t8fn,-0.020008432454076307,0.042401360597933986,0.7776565373640388
1316808,0,0,0.059294,1604974492.592275,1604974493.534624,ec6echa5g8xs,-0.022923735471872184,0.05338386266504464,0.8601314600084745
1316808,1,0,0.048562,1604974505.071742,1604974505.681618,ec6e89mxd71c,-0.005368698727000843,0.040235271516310296,0.5559452187076915
1316808,2,0,0.068639,1604974514.155555,1604974514.941795,ec6eh3wuabj5,-0.032090206940968834,0.050265699954261826,0.6855108939196268
1316808,3,0,0.053625,1604974533.742492,1604974534.642753,ec6eu87i4zf8,-0.024755466368890578,0.04581549145516238,0.8218804589240781
