memory,type,is_cold,exec_time,connection_time,client_time,provider_time
512,warm,False,933675,0.096302,1117533,976
512,warm,False,860943,0.092053,1068821,867
512,warm,False,898667,0.090464,1051205,905
512,warm,False,889779,0.09114,1131475,991
512,warm,False,925013,0.108173,1085060,931
512,warm,False,934979,0.102407,1119053,966
512,warm,False,875953,0.117731,1135388,881
512,warm,False,886980,0.080664,1096601,960
512,warm,False,987639,0.08395,1122405,995
512,warm,False,868979,0.081327,999774,875
512,warm,False,894594,0.084961,1033346,900
512,warm,False,753274,0.089791,1100373,768
512,warm,False,932194,0.078788,1060578,938
512,warm,False,840130,0.092881,989062,847
512,warm,False,893792,0.081152,1119809,994
512,warm,False,885783,0.096904,1097228,957
512,warm,False,924492,0.064709,1064940,950
512,warm,False,980739,0.084383,1117170,987
512,warm,False,848431,0.07085,1001082,865
512,warm,False,1015922,0.116535,1192176,1022
512,warm,False,1112167,0.06498,1274758,1167
512,warm,False,874109,0.069335,1095866,885
512,warm,False,962707,0.093025,1112433,973
512,warm,False,862369,0.071307,1033599,868
512,warm,False,892630,0.08767,1093851,962
512,warm,False,899757,0.107744,1145966,979
512,warm,False,913271,0.102651,1071514,918
512,warm,False,971301,0.084125,1157711,1026
512,warm,False,832377,0.085346,1058396,839
512,warm,False,923630,0.074962,1086495,967
512,warm,False,1011357,0.085106,1152234,1018
512,warm,False,977667,0.11103,1137080,983
512,warm,False,1136894,0.066367,1253263,1144
512,warm,False,1064232,0.081201,1198882,1071
512,warm,False,1025541,0.092223,1178758,1032
512,warm,False,947921,0.119586,1117938,955
512,warm,False,961707,0.060461,1072681,967
512,warm,False,889218,0.076858,1097803,898
512,warm,False,912022,0.093942,1065456,919
512,warm,False,903276,0.078093,1043146,910
512,warm,False,964384,0.108808,1133499,973
512,warm,False,826226,0.085428,1109460,896
512,warm,False,974509,0.113436,1142894,981
512,warm,False,821844,0.07653,949739,828
512,warm,False,873398,0.090375,1041533,911
512,warm,False,904842,0.082379,1038166,910
512,warm,False,919903,0.096785,1105240,954
512,warm,False,925514,0.086741,1062331,934
512,warm,False,891492,0.09984,1044377,897
512,warm,False,950284,0.093447,1094823,957
512,warm,False,874583,0.087831,1042436,910
512,warm,False,899584,0.092548,1040887,906
512,warm,False,899693,0.09352,1116546,958
512,warm,False,891659,0.095931,1057931,918
512,warm,False,937187,0.119313,1104919,944
512,warm,False,874513,0.051669,981949,882
512,warm,False,914688,0.068547,1033589,922
512,warm,False,912257,0.099734,1064892,919
512,warm,False,828085,0.076445,992883,872
512,warm,False,926025,0.085771,1069364,932
512,warm,False,992406,0.065457,1107070,998
512,warm,False,944633,0.094646,1102322,964
512,warm,False,932936,0.072096,1064315,941
