memory,type,is_cold,exec_time,connection_time,client_time,provider_time
2048,warm,False,2000,0.094788,160273,17
2048,warm,False,1000,0.082718,783056,658
2048,warm,False,1000,0.098705,523754,373
2048,warm,False,1000,0.094142,701403,563
2048,warm,False,3000,0.099538,298997,124
2048,warm,False,1000,0.077422,456793,247
2048,warm,False,1000,0.074897,409410,289
2048,warm,False,1000,0.077908,441639,319
2048,warm,False,1000,0.085659,341621,209
2048,warm,False,1000,0.109343,198663,25
2048,warm,False,2000,0.068434,449174,331
2048,warm,False,2000,0.095436,165127,12
2048,warm,False,1000,0.077667,720818,592
2048,warm,False,1000,0.062814,934495,822
2048,warm,False,3000,0.098185,164312,7
2048,warm,False,1000,0.078173,797370,676
2048,warm,False,1000,0.076972,1594238,1470
2048,warm,False,1000,0.109916,163276,5
2048,warm,False,1000,0.100583,155628,5
2048,warm,False,2000,0.087908,323438,193
2048,warm,False,2000,0.060443,126132,15
2048,warm,False,1000,0.096155,367759,224
2048,warm,False,2000,0.085013,146443,13
2048,warm,False,2000,0.105353,205036,30
2048,warm,False,2000,0.067818,278150,158
2048,warm,False,1000,0.106664,725161,575
2048,warm,False,1000,0.09408,332000,191
2048,warm,False,1000,0.080816,640948,514
2048,warm,False,1000,0.080335,392779,267
2048,warm,False,1000,0.082158,351545,222
2048,warm,False,2000,0.10356,206847,29
2048,warm,False,2000,0.087941,573114,441
2048,warm,False,1000,0.079033,493503,367
2048,warm,False,2000,0.079988,251440,128
2048,warm,False,1000,0.073925,768027,651
2048,warm,False,3000,0.083444,143407,13
2048,warm,False,3000,0.085948,177065,48
2048,warm,False,1000,0.079386,677823,558
2048,warm,False,1000,0.079068,458604,337
2048,warm,False,1000,0.048281,788061,692
2048,warm,False,1000,0.085128,776062,645
2048,warm,False,1000,0.09508,326352,183
2048,warm,False,3000,0.105353,200288,24
2048,warm,False,1000,0.102896,377461,222
2048,warm,False,1000,0.080302,424485,295
2048,warm,False,2000,0.102989,171738,12
2048,warm,False,2000,0.088185,164726,27
2048,warm,False,0,0.089928,358747,218
2048,warm,False,1000,0.062674,748914,639
2048,warm,False,1000,0.076385,862001,738
2048,warm,False,1000,0.094515,390282,252
2048,warm,False,3000,0.094945,208694,72
2048,warm,False,1000,0.070217,365779,254
2048,warm,False,1000,0.055678,656685,536
2048,warm,False,1000,0.10089,441335,296
2048,warm,False,2000,0.097096,167892,13
2048,warm,False,1000,0.083743,556249,413
2048,warm,False,1000,0.07819,616177,491
2048,warm,False,1000,0.087689,790514,660
2048,warm,False,4000,0.110476,300322,134
2048,warm,False,1000,0.090643,383723,250
2048,warm,False,1000,0.099625,331238,186
2048,warm,False,1000,0.081957,338967,212
2048,warm,False,1000,0.077815,391063,268
2048,warm,False,1000,0.109143,491913,339
2048,warm,False,1000,0.062629,576795,470
2048,warm,False,2000,0.291946,375735,45
2048,warm,False,1000,0.073631,398377,285
2048,warm,False,2000,0.110228,173974,6
2048,warm,False,2000,0.069592,1240339,1129
2048,warm,False,2000,0.086399,804639,674
2048,warm,False,3000,0.080487,141334,17
2048,warm,False,1000,0.100146,150928,8
2048,warm,False,3000,0.086525,440104,310
2048,warm,False,1000,0.101497,325052,178
2048,warm,False,1000,0.075514,455565,336
2048,warm,False,2000,0.082818,269108,145
2048,warm,False,1000,0.107273,434265,277
2048,warm,False,3000,0.087198,152554,21
2048,warm,False,1000,0.077932,787862,662
2048,warm,False,1000,0.093864,385247,246
2048,warm,False,2000,0.069119,125139,9
2048,warm,False,2000,0.105019,826138,670
2048,warm,False,1000,0.088786,819323,663
2048,warm,False,3000,0.081257,154384,29
2048,warm,False,2000,0.04998,171944,77
2048,warm,False,1000,0.085265,748068,620
2048,warm,False,1000,0.065597,574215,462
2048,warm,False,0,0.078085,483219,361
2048,warm,False,1000,0.099772,155744,4
2048,warm,False,1000,0.09071,144742,8
2048,warm,False,2000,0.092868,1147171,1005
2048,warm,False,1000,0.080967,482325,361
2048,warm,False,1000,0.075822,412701,296
2048,warm,False,2000,0.056491,111552,12
2048,warm,False,3000,0.079427,144551,21
2048,warm,False,5000,0.10189,195084,31
2048,warm,False,1000,0.077373,411925,292
2048,warm,False,2000,0.077531,762357,641
2048,warm,False,2000,0.064817,451960,343
2048,warm,False,1000,0.08291,473612,349
2048,warm,False,1000,0.080946,763698,630
2048,warm,False,3000,0.100668,179135,25
2048,warm,False,2000,0.084898,569890,440
2048,warm,False,1000,0.058477,342917,243
2048,warm,False,1000,0.093416,422366,287
