#Seconds from epoch.microseconds; Duration in miliseconds
Begin,End,Wallclock,User,Sys
1605566629.860892,1605566630.641973,0.776,0.481,0.075
1605566630.642510,1605566631.289783,0.645,0.471,0.060
1605566631.290337,1605566631.921546,0.629,0.459,0.061
1605566631.922154,1605566632.613317,0.689,0.486,0.053
1605566632.613969,1605566633.237250,0.621,0.490,0.044
1605566633.237932,1605566633.881306,0.641,0.479,0.051
1605566633.882020,1605566634.513385,0.629,0.490,0.036
1605566634.514128,1605566635.189369,0.673,0.466,0.080
1605566635.190156,1605566635.821384,0.629,0.496,0.045
1605566635.822204,1605566636.569484,0.745,0.492,0.049
1605566636.570329,1605566637.257389,0.685,0.483,0.060
1605566637.258294,1605566637.941329,0.681,0.482,0.045
1605566637.942278,1605566638.625361,0.681,0.479,0.061
1605566638.626363,1605566639.257381,0.629,0.484,0.056
1605566639.258431,1605566639.881410,0.621,0.473,0.063
1605566639.882506,1605566640.509335,0.625,0.495,0.049
1605566640.510483,1605566641.161396,0.649,0.468,0.063
1605566641.162848,1605566641.817524,0.652,0.487,0.055
1605566641.818766,1605566642.441360,0.620,0.491,0.048
1605566642.442684,1605566643.089434,0.645,0.468,0.061
1605566643.090819,1605566643.769375,0.676,0.477,0.064
1605566643.770838,1605566644.389372,0.616,0.469,0.072
1605566644.390913,1605566645.037359,0.644,0.485,0.059
1605566645.038930,1605566645.697352,0.656,0.475,0.056
1605566645.699011,1605566646.297348,0.596,0.490,0.045
1605566646.299084,1605566646.925339,0.624,0.497,0.041
1605566646.927153,1605566647.565283,0.636,0.492,0.045
1605566647.567170,1605566648.217301,0.648,0.461,0.072
1605566648.219244,1605566648.957302,0.736,0.489,0.035
1605566648.959333,1605566649.581320,0.620,0.475,0.057
1605566649.583412,1605566650.245302,0.660,0.478,0.056
1605566650.247488,1605566650.885268,0.636,0.475,0.056
1605566650.887536,1605566651.493356,0.604,0.477,0.057
1605566651.495746,1605566652.153349,0.655,0.478,0.061
1605566652.155802,1605566652.833345,0.675,0.500,0.040
1605566652.835911,1605566653.457392,0.619,0.445,0.081
1605566653.460071,1605566654.105380,0.643,0.492,0.045
1605566654.108176,1605566654.777440,0.667,0.459,0.068
1605566654.780331,1605566655.425386,0.643,0.516,0.024
1605566655.428346,1605566656.145297,0.715,0.470,0.068
1605566656.148336,1605566656.757286,0.607,0.487,0.037
1605566656.760379,1605566657.397268,0.635,0.463,0.068
1605566657.400643,1605566658.025338,0.623,0.500,0.032
