Memory,FunctionTime,Invocations,DeltaT,WarmContainers
1536,10,11,660,6
1536,10,11,660,6
1536,10,11,660,6
1536,10,11,780,3
1536,10,11,780,3
1536,10,11,780,3
1536,10,11,780,3
1536,10,11,780,3
1536,10,11,840,3
1536,10,11,840,2
1536,10,11,840,3
1536,10,11,840,3
1536,10,11,840,3
1536,10,11,960,3
1536,10,11,960,3
1536,10,11,960,3
1536,10,11,960,3
1536,10,11,960,3
1536,10,11,1020,3
1536,10,11,1020,2
1536,10,11,1020,3
1536,10,11,1020,3
1536,10,11,1020,3
1536,10,11,1140,2
1536,10,11,1140,2
1536,10,11,1140,1
1536,10,11,1140,1
1536,10,11,1140,2
1536,10,11,1260,2
1536,10,11,1260,2
1536,10,11,1260,2
1536,10,11,1260,2
1536,10,11,1260,0
1536,10,11,1320,2
1536,10,11,1320,2
1536,10,11,1320,2
1536,10,11,1320,1
1536,10,11,1320,2
1536,10,18,420,10
1536,10,18,420,10
1536,10,18,420,9
1536,10,18,420,9
1536,10,18,420,9
1536,10,18,540,4
1536,10,18,540,10
1536,10,18,540,9
1536,10,18,540,9
1536,10,18,540,9
1536,10,18,660,8
1536,10,18,660,9
1536,10,18,660,9
1536,10,18,660,9
1536,10,18,660,9
1536,10,18,780,5
1536,10,18,780,5
1536,10,18,780,5
1536,10,18,780,5
1536,10,18,780,5
1536,10,18,840,4
1536,10,18,840,5
1536,10,18,840,4
1536,10,18,840,4
1536,10,18,840,5
1536,10,18,960,4
1536,10,18,960,4
1536,10,18,960,5
1536,10,18,960,5
1536,10,18,960,5
1536,10,18,1020,6
1536,10,18,1020,3
1536,10,18,1020,5
1536,10,18,1020,4
1536,10,18,1020,5
1536,10,18,1140,1
1536,10,18,1140,3
1536,10,18,1140,3
1536,10,18,1140,2
1536,10,18,1140,3
1536,10,18,1260,1
1536,10,18,1260,2
1536,10,18,1260,3
1536,10,18,1260,3
1536,10,18,1260,3
1536,10,18,1320,2
1536,10,18,1320,2
1536,10,18,1320,3
1536,10,18,1320,3
1536,10,18,1320,3
1536,10,17,420,9
1536,10,17,420,9
1536,10,17,420,9
1536,10,17,420,9
1536,10,17,420,9
1536,10,17,540,9
1536,10,17,540,9
1536,10,17,540,9
1536,10,17,540,9
1536,10,17,540,9
1536,10,17,660,9
1536,10,17,660,8
1536,10,17,660,8
1536,10,17,660,9
1536,10,17,660,9
1536,10,17,780,4
1536,10,17,780,4
1536,10,17,780,4
1536,10,17,780,5
1536,10,17,780,5
1536,10,17,840,5
1536,10,17,840,5
1536,10,17,840,5
1536,10,17,840,5
1536,10,17,840,4
1536,10,17,960,4
1536,10,17,960,4
1536,10,17,960,5
1536,10,17,960,5
1536,10,17,960,4
1536,10,17,1020,4
1536,10,17,1020,4
1536,10,17,1020,5
1536,10,17,1020,5
1536,10,17,1020,5
1536,10,17,1140,2
1536,10,17,1140,2
1536,10,17,1140,3
1536,10,17,1140,3
1536,10,17,1140,1
1536,10,17,1260,2
1536,10,17,1260,2
1536,10,17,1260,2
1536,10,17,1260,3
1536,10,17,1260,3
1536,10,17,1320,2
1536,10,17,1320,2
1536,10,17,1320,3
1536,10,17,1320,3
1536,10,17,1320,3
1536,10,5,420,3
1536,10,5,420,3
1536,10,5,420,3
1536,10,5,420,3
1536,10,5,420,3
1536,10,5,540,2
1536,10,5,540,3
1536,10,5,540,3
1536,10,5,540,3
1536,10,5,540,3
1536,10,5,660,2
1536,10,5,660,3
1536,10,5,660,3
1536,10,5,660,3
1536,10,5,660,3
1536,10,5,780,1
1536,10,5,780,2
1536,10,5,780,0
1536,10,5,780,2
1536,10,5,780,2
1536,10,5,840,1
1536,10,5,840,2
1536,10,5,840,2
1536,10,5,840,2
1536,10,5,840,2
1536,10,5,960,1
1536,10,5,960,2
1536,10,5,960,1
1536,10,5,960,2
1536,10,5,960,2
1536,10,5,1020,1
1536,10,5,1020,2
1536,10,5,1020,2
1536,10,5,1020,2
1536,10,5,1020,0
1536,10,5,1140,1
1536,10,5,1140,1
1536,10,5,1140,1
1536,10,5,1140,1
1536,10,5,1140,1
1536,10,5,1260,0
1536,10,5,1260,0
1536,10,5,1260,1
1536,10,5,1260,1
1536,10,5,1260,1
1536,10,5,1320,0
1536,10,5,1320,1
1536,10,5,1320,1
1536,10,5,1320,1
1536,10,5,1320,1
1536,10,19,360,18
1536,10,19,360,19
1536,10,19,360,19
1536,10,19,360,19
1536,10,19,360,19
1536,10,19,480,10
1536,10,19,480,9
1536,10,19,480,10
1536,10,19,480,10
1536,10,19,480,10
1536,10,19,600,10
1536,10,19,600,10
1536,10,19,600,10
1536,10,19,600,10
1536,10,19,600,10
1536,10,19,720,10
1536,10,19,720,10
1536,10,19,720,9
1536,10,19,720,10
1536,10,19,720,10
1536,10,19,900,5
1536,10,19,900,5
1536,10,19,900,4
1536,10,19,900,5
1536,10,19,900,5
1536,10,19,1080,4
1536,10,19,1080,5
1536,10,19,1080,5
1536,10,19,1080,5
1536,10,19,1080,5
1536,10,19,1200,3
1536,10,19,1200,2
1536,10,19,1200,3
1536,10,19,1200,3
1536,10,19,1200,3
1536,10,11,1,8
1536,10,11,1,7
1536,10,11,1,10
1536,10,11,1,6
1536,10,11,1,11
1536,10,11,2,10
1536,10,11,2,11
1536,10,11,2,7
1536,10,11,2,9
1536,10,11,2,9
1536,10,11,4,9
1536,10,11,4,11
1536,10,11,4,11
