Begin,End,Duration,User,Sys
1605059708.036,1605059708.102,65533.273,56761,1530
1605059708.113,1605059708.178,65270.307,43408,14514
1605059708.190,1605059708.256,65062.896,44575,13589
1605059708.268,1605059708.333,65308.913,49873,8262
1605059708.346,1605059708.412,66226.376,58427,0
1605059708.425,1605059708.496,71069.348,64060,0
1605059708.509,1605059708.574,65000.8,32490,25452
1605059708.587,1605059708.653,66237.961,47574,11201
1605059708.667,1605059708.736,68414.412,32247,28366
1605059708.750,1605059708.816,66451.747,58747,0
1605059708.831,1605059708.898,67347.49,49997,8555
1605059708.913,1605059708.979,66079.078,58690,0
1605059708.993,1605059709.063,69221.407,37364,24913
1605059709.078,1605059709.149,71654.244,40454,23935
1605059709.164,1605059709.229,64995.759,49721,8276
1605059709.253,1605059709.318,65295.261,34332,23923
1605059709.351,1605059709.417,65646.718,58412,0
1605059709.433,1605059709.503,69313.237,62351,0
1605059709.520,1605059709.587,66838.637,51533,7609
1605059709.604,1605059709.670,65776.625,51194,7485
1605059709.699,1605059709.765,66223.957,55783,3165
1605059709.782,1605059709.848,65994.281,58900,0
1605059709.866,1605059709.932,65825.135,58541,0
1605059709.950,1605059710.019,68902.272,61706,0
1605059710.043,1605059710.109,66199.863,58805,0
1605059710.172,1605059710.239,66958.959,53055,6469
1605059710.257,1605059710.324,66408.36,58635,0
1605059710.342,1605059710.408,65274.796,58292,0
1605059710.430,1605059710.497,67150.731,44249,14823
1605059710.517,1605059710.582,65548.21,57161,1044
1605059710.602,1605059710.672,69818.734,62428,0
1605059710.692,1605059710.759,66850.763,36974,21599
1605059710.779,1605059710.845,66118.565,58271,0
1605059710.866,1605059710.933,66448.703,58916,0
1605059710.954,1605059711.027,72733.27,62026,4910
1605059711.049,1605059711.117,67819.485,49013,11527
1605059711.146,1605059711.212,66306.379,58698,0
1605059711.234,1605059711.301,66986.413,38808,20752
1605059711.323,1605059711.389,65246.275,57723,0
1605059711.412,1605059711.477,65611.539,44019,14132
1605059711.500,1605059711.590,89967.693,72506,10087
1605059711.622,1605059711.721,98148.597,90903,0
1605059711.752,1605059711.842,90063.231,82400,0
1605059711.874,1605059711.973,98838.822,85802,5636
1605059712.006,1605059712.096,90247.877,83180,0
1605059712.129,1605059712.228,98634.239,91273,0
1605059712.261,1605059712.364,103903.416,87560,0
1605059712.397,1605059712.502,104237.545,83123,0
1605059712.536,1605059712.633,97214.226,77482,5182
1605059712.666,1605059712.756,89897.702,82801,0
1605059712.798,1605059712.888,90052.74,77581,5105
1605059712.923,1605059713.024,101345.725,80717,5190
1605059713.059,1605059713.157,98728.574,82849,0
1605059713.194,1605059713.293,99625.4,81963,0
1605059713.329,1605059713.419,90251.245,83046,0
1605059713.463,1605059713.553,90406.019,82865,0
1605059713.597,1605059713.687,89440.154,82238,0
1605059713.723,1605059713.825,101918.548,86146,0
1605059713.862,1605059713.961,98802.885,91288,0
1605059713.999,1605059714.100,101268.435,84779,0
1605059714.138,1605059714.236,97683.422,90422,0
1605059714.273,1605059714.371,97856.606,90876,0
1605059714.413,1605059714.513,100416.978,84177,0
1605059714.551,1605059714.652,101002.079,84727,0
1605059714.699,1605059714.789,90105.649,82722,0
1605059714.828,1605059714.925,97191.565,72530,17710
1605059714.964,1605059715.066,101917.217,81678,4293
1605059715.114,1605059715.204,89384.212,82297,0
1605059715.252,1605059715.341,89263.112,82037,0
1605059715.390,1605059715.481,90518.227,74579,8772
1605059715.530,1605059715.628,97786.065,82738,0
1605059715.669,1605059715.767,97413.327,64991,17210
1605059715.808,1605059715.912,103493.64,92777,3730
1605059715.954,1605059716.052,98174.322,85708,4794
1605059716.104,1605059716.195,90645.095,82632,835
1605059716.246,1605059716.336,90287.454,57537,17121
1605059716.388,1605059716.486,98238.728,90838,0
1605059716.575,1605059716.747,171777.128,164219,0
1605059716.840,1605059717.003,163092.326,137956,5578
1605059717.093,1605059717.258,164057.899,144179,0
1605059717.349,1605059717.521,171834.44,164083,0
1605059717.616,1605059717.775,159556.229,151739,0
1605059717.871,1605059718.042,171688.299,164252,0
1605059718.139,1605059718.311,171602.616,140148,0
1605059718.404,1605059718.576,172538.26,152805,0
1605059718.673,1605059718.833,159353.71,146300,5159
1605059718.934,1605059719.103,169360.236,160746,0
1605059719.206,1605059719.379,172786.861,152493,3875
1605059719.468,1605059719.639,171053.194,151505,0
1605059719.739,1605059719.911,172715.507,152923,0
1605059720.010,1605059720.185,174335.212,153976,0
1605059720.298,1605059720.457,159438.388,151559,0
1605059720.570,1605059720.737,167774.538,139589,0
1605059720.842,1605059721.010,168075.675,140086,0
1605059721.116,1605059721.289,173326.952,141051,3842
1605059721.404,1605059721.870,466376.835,407169,18616
1605059722.349,1605059723.046,696719.243,633703,18027
1605059723.520,1605059724.227,706931.475,620221,31318
1605059724.719,1605059725.412,693889.383,588506,27522
1605059725.929,1605059726.616,686330.581,597479,15915
1605059727.105,1605059727.797,692037.312,621711,30440
1605059728.273,1605059728.983,710148.649,601534,14821
1605059729.514,1605059730.191,677403.363,584269,27608
1605059730.719,1605059731.435,715564.821,589149,27931
1605059731.966,1605059732.661,694473.599,598152,14902
1605059733.180,1605059733.908,727764.776,627282,27757
1605059734.437,1605059735.157,719599.946,609300,40072
1605059735.681,1605059736.449,768066.2,710985,20317
1605059737.016,1605059737.701,685280.835,632343,16528
1605059738.231,1605059738.949,717992.237,627888,44953
1605059739.482,1605059740.206,723850.384,588143,28255
1605059740.773,1605059741.428,655734.384,596959,14572
1605059742.020,1605059742.698,677161.338,582413,13425
1605059743.275,1605059744.000,725053.69,635812,16077
1605059744.568,1605059745.469,900805.533,590695,23575
1605059746.186,1605059746.946,759621.754,634232,15762
1605059747.558,1605059748.279,721439.914,642055,14163
1605059748.854,1605059749.560,706639.472,600972,15054
1605059750.175,1605059750.873,697573.493,585149,26619
1605059751.502,1605059752.184,681910.537,607333,42010
1605059752.794,1605059753.491,697793.228,601082,14685
1605059754.125,1605059754.797,672693.033,584409,27419
1605059755.412,1605059756.127,715032.52,639777,14149
