#Seconds from epoch.microseconds; Duration in miliseconds
Begin,End,Wallclock,User,Sys
1605557821.372193,1605557826.071581,4.679,2.199,0.824
1605557826.072210,1605557829.845298,3.762,2.105,0.911
1605557829.846228,1605557833.768641,3.917,2.146,0.830
1605557833.769307,1605557837.204639,3.432,2.124,0.826
1605557837.205326,1605557840.599815,3.392,2.104,0.845
1605557840.600553,1605557843.911758,3.308,2.090,0.832
1605557843.912539,1605557847.243392,3.326,2.047,0.894
1605557847.244194,1605557850.768745,3.521,2.038,0.934
1605557850.769634,1605557854.399191,3.622,2.142,0.858
1605557854.400138,1605557857.796535,3.394,2.084,0.866
1605557857.797567,1605557861.010960,3.211,2.095,0.847
1605557861.011959,1605557864.231586,3.215,2.053,0.844
1605557864.232639,1605557867.404072,3.169,2.086,0.805
1605557867.405229,1605557870.757953,3.349,2.059,0.880
1605557870.759094,1605557874.073033,3.312,2.122,0.836
1605557874.074455,1605557877.304713,3.228,2.131,0.818
1605557877.306044,1605557880.623873,3.313,2.133,0.817
1605557880.625287,1605557883.892660,3.265,2.045,0.881
1605557883.894203,1605557887.161034,3.265,2.113,0.780
1605557887.162543,1605557890.525076,3.355,2.069,0.869
1605557890.526652,1605557893.943213,3.412,2.144,0.833
1605557893.944941,1605557897.230141,3.283,2.151,0.821
1605557897.231843,1605557900.556581,3.322,2.012,0.921
1605557900.558460,1605557903.734131,3.173,2.081,0.797
1605557903.735979,1605557906.933565,3.195,2.138,0.781
1605557906.935539,1605557910.213611,3.272,2.164,0.785
1605557910.215701,1605557913.481475,3.263,2.088,0.814
1605557913.483604,1605557916.858910,3.373,2.125,0.782
1605557916.861138,1605557920.067699,3.204,2.083,0.864
1605557920.070044,1605557923.249530,3.177,2.095,0.845
1605557923.252014,1605557926.423502,3.169,2.118,0.787
1605557926.426080,1605557929.654005,3.223,2.097,0.829
1605557929.656596,1605557932.928059,3.269,2.061,0.898
1605557932.930827,1605557936.227062,3.294,2.184,0.750
1605557936.229892,1605557939.468492,3.236,2.113,0.836
1605557939.471420,1605557942.691444,3.218,2.140,0.802
1605557942.694515,1605557945.990538,3.294,2.053,0.885
1605557945.993739,1605557949.474933,3.475,2.169,0.773
1605557949.478282,1605557952.742806,3.262,2.126,0.795
1605557952.746278,1605557955.970308,3.221,2.083,0.827
1605557955.973800,1605557959.619507,3.634,2.051,0.855
1605557959.623132,1605557962.908738,3.283,2.111,0.837
1605557962.912528,1605557966.063451,3.149,2.094,0.792
1605557966.067355,1605557969.273857,3.202,2.073,0.833
1605557969.278087,1605557972.477828,3.197,2.107,0.820
1605557972.481968,1605557975.729251,3.245,2.088,0.836
1605557975.733554,1605557978.912205,3.176,2.043,0.899
1605557978.916679,1605557982.112520,3.194,2.134,0.810
1605557982.117079,1605557985.336863,3.217,2.078,0.866
1605557985.341607,1605557988.632934,3.289,2.010,0.908
1605557988.637733,1605557991.936792,3.291,2.076,0.837
1605557991.941806,1605557995.141827,3.195,2.063,0.840
1605557995.146999,1605557998.437685,3.288,2.061,0.881
1605557998.442964,1605558001.724428,3.279,2.095,0.876
1605558001.729842,1605558004.944245,3.212,2.093,0.808
1605558004.949813,1605558008.191915,3.240,2.051,0.879
1605558008.197713,1605558011.357087,3.157,2.099,0.712
1605558011.363000,1605558014.627370,3.262,2.121,0.823
1605558014.633515,1605558017.730597,3.095,2.120,0.692
1605558017.736862,1605558021.024886,3.283,2.056,0.878
1605558021.031278,1605558024.291840,3.258,2.104,0.821
1605558024.298425,1605558027.487163,3.186,2.098,0.829
1605558027.494354,1605558030.716451,3.220,2.057,0.846
1605558030.723327,1605558034.211252,3.411,2.143,0.791
1605558034.218326,1605558037.489545,3.269,2.077,0.839
1605558037.501233,1605558041.087253,3.582,2.169,0.737
1605558041.094645,1605558044.318221,3.219,2.102,0.839
1605558044.326004,1605558047.579534,3.251,2.054,0.874
1605558047.587477,1605558050.848184,3.258,2.062,0.864
1605558050.856161,1605558054.038533,3.180,2.172,0.722
1605558054.047007,1605558057.267806,3.218,2.048,0.844
1605558057.276172,1605558060.699531,3.421,2.114,0.831
1605558060.708047,1605558064.085993,3.376,2.169,0.758
1605558064.094730,1605558067.260729,3.164,2.111,0.733
1605558067.269840,1605558070.507729,3.233,2.099,0.822
1605558070.517065,1605558073.734828,3.215,2.174,0.732
1605558073.744219,1605558076.988049,3.241,2.101,0.825
1605558076.997811,1605558080.257053,3.257,2.136,0.817
1605558080.267033,1605558083.538269,3.269,2.122,0.841
1605558083.548994,1605558086.795737,3.244,2.055,0.879
1605558086.806091,1605558090.025110,3.217,2.065,0.845
1605558090.035771,1605558093.336525,3.298,2.117,0.817
1605558093.347236,1605558096.608754,3.259,2.050,0.880
1605558096.620039,1605558099.864011,3.239,2.076,0.811
1605558099.875186,1605558103.094194,3.216,2.125,0.808
1605558103.105773,1605558106.323779,3.216,2.093,0.876
1605558106.335878,1605558109.606323,3.268,2.020,0.939
1605558109.618135,1605558112.854277,3.234,2.047,0.863
1605558112.866383,1605558116.071140,3.202,2.080,0.856
1605558116.083512,1605558119.305735,3.220,2.097,0.833
1605558119.318308,1605558122.511022,3.190,2.102,0.816
1605558122.523705,1605558125.737172,3.211,2.152,0.786
1605558125.750300,1605558128.944723,3.190,2.107,0.810
1605558128.958265,1605558132.191650,3.231,2.077,0.827
1605558132.205145,1605558135.489620,3.282,2.124,0.811
1605558135.503584,1605558138.705963,3.200,2.097,0.805
1605558138.719940,1605558141.905270,3.183,2.050,0.862
1605558141.919801,1605558145.091685,3.170,2.129,0.776
1605558145.106232,1605558148.295538,3.187,2.157,0.763
1605558148.311230,1605558151.533567,3.220,2.090,0.850
1605558151.548809,1605558154.825718,3.272,2.074,0.889
1605558154.841306,1605558158.129574,3.286,2.096,0.859
1605558158.145436,1605558161.352244,3.204,2.108,0.822
1605558161.368226,1605558164.564880,3.194,2.077,0.857
1605558164.581188,1605558167.762878,3.179,2.107,0.840
1605558167.779818,1605558170.950963,3.169,2.165,0.757
1605558170.967824,1605558174.178227,3.208,2.041,0.874
1605558174.195327,1605558177.374729,3.177,2.081,0.823
1605558177.392163,1605558180.582197,3.188,2.100,0.813
1605558180.600418,1605558183.830417,3.225,2.164,0.767
1605558183.848446,1605558187.126219,3.275,2.141,0.736
1605558187.144613,1605558190.428811,3.282,2.129,0.774
1605558190.447551,1605558193.670780,3.221,2.130,0.800
1605558193.689618,1605558196.881229,3.189,2.092,0.831
1605558196.900991,1605558200.090487,3.187,2.080,0.846
1605558200.110109,1605558203.404579,3.292,2.161,0.780
1605558203.424494,1605558206.684946,3.255,2.127,0.805
1605558206.705338,1605558209.912546,3.205,2.057,0.869
1605558209.933112,1605558213.258587,3.323,2.137,0.826
1605558213.280013,1605558216.482071,3.200,2.205,0.750
1605558216.503902,1605558219.693046,3.187,2.104,0.846
1605558219.714911,1605558222.940631,3.223,2.107,0.846
1605558222.962803,1605558226.156193,3.191,2.143,0.791
1605558226.178649,1605558229.457100,3.273,2.054,0.888
1605558229.479899,1605558232.699748,3.218,2.112,0.806
1605558232.722883,1605558236.202571,3.477,2.025,0.911
1605558236.225810,1605558239.419262,3.191,2.094,0.825
1605558239.442851,1605558242.668136,3.223,2.103,0.830
1605558242.692179,1605558245.932208,3.238,2.065,0.875
1605558245.956801,1605558249.154445,3.195,2.073,0.850
1605558249.179457,1605558254.075662,4.891,2.101,0.898
1605558254.100599,1605558257.290978,3.188,2.130,0.783
1605558257.316511,1605558260.549537,3.231,2.040,0.904
1605558260.575811,1605558263.759551,3.181,2.116,0.801
1605558263.786137,1605558266.959462,3.171,2.126,0.799
1605558266.986852,1605558270.201411,3.212,2.143,0.839
1605558270.228435,1605558273.456637,3.226,2.108,0.868
1605558273.483924,1605558276.669402,3.183,2.114,0.788
1605558276.697197,1605558279.978176,3.276,2.112,0.848
1605558280.006372,1605558283.184669,3.176,2.096,0.845
1605558283.212888,1605558286.449128,3.234,2.043,0.847
1605558286.477762,1605558289.822530,3.341,2.069,0.897
1605558289.851480,1605558293.061500,3.207,2.034,0.890
1605558293.090987,1605558296.309272,3.216,2.191,0.770
1605558296.338894,1605558299.486675,3.145,2.071,0.829
1605558299.517348,1605558302.713494,3.194,2.135,0.803
1605558302.743989,1605558306.022836,3.276,2.133,0.831
1605558306.054234,1605558309.301038,3.242,2.073,0.806
1605558309.332726,1605558312.492606,3.158,2.086,0.776
1605558312.524415,1605558315.788907,3.262,2.092,0.859
1605558315.821442,1605558318.993501,3.169,2.004,0.906
1605558319.026601,1605558322.267434,3.238,2.218,0.750
1605558322.300523,1605558325.531358,3.228,2.124,0.805
1605558325.564825,1605558328.738973,3.172,2.111,0.833
1605558328.773389,1605558331.980254,3.202,2.066,0.844
1605558332.014486,1605558335.257372,3.241,2.107,0.819
1605558335.292376,1605558338.497255,3.202,2.023,0.890
1605558338.532173,1605558341.703121,3.168,2.114,0.798
1605558341.738678,1605558344.956258,3.215,2.168,0.779
1605558344.991855,1605558348.188139,3.194,2.107,0.803
1605558348.224645,1605558351.409259,3.182,2.061,0.837
1605558351.446241,1605558354.664372,3.213,2.096,0.816
1605558354.701203,1605558357.887519,3.184,1.990,0.924
1605558357.925051,1605558361.096622,3.169,2.077,0.844
1605558361.134677,1605558364.438808,3.302,2.156,0.862
1605558364.477414,1605558367.719718,3.240,2.151,0.809
1605558367.758672,1605558371.004347,3.243,2.133,0.821
1605558371.044220,1605558374.267012,3.220,2.055,0.878
1605558374.306490,1605558377.557636,3.246,2.117,0.813
1605558377.597325,1605558380.829320,3.229,2.077,0.857
1605558380.869482,1605558384.104937,3.233,2.133,0.829
1605558384.145894,1605558387.337597,3.189,2.170,0.774
1605558387.378615,1605558390.592370,3.211,2.125,0.816
1605558390.633966,1605558393.961710,3.323,2.142,0.788
1605558394.004235,1605558397.220287,3.213,2.066,0.866
1605558397.262597,1605558400.500595,3.236,2.104,0.851
1605558400.543629,1605558403.772539,3.226,2.177,0.786
1605558403.816509,1605558407.032760,3.214,2.073,0.864
1605558407.076749,1605558410.360876,3.282,2.072,0.889
1605558410.404895,1605558413.607565,3.200,2.099,0.805
1605558413.652107,1605558416.831832,3.177,2.074,0.846
1605558416.877770,1605558420.150469,3.268,2.103,0.872
1605558420.195741,1605558423.415015,3.217,2.123,0.774
1605558423.464754,1605558426.706094,3.239,2.125,0.816
1605558426.752951,1605558429.998512,3.243,2.057,0.849
1605558430.045441,1605558433.290360,3.242,2.103,0.847
1605558433.338789,1605558436.655679,3.314,2.123,0.785
1605558436.705717,1605558442.809448,6.101,2.111,0.813
1605558442.858472,1605558446.074739,3.211,2.023,0.905
1605558446.123779,1605558449.350508,3.224,2.058,0.877
1605558449.400022,1605558452.579454,3.177,2.067,0.854
1605558452.629339,1605558456.027842,3.396,2.076,0.878
1605558456.078860,1605558459.696796,3.615,2.153,0.789
1605558459.748072,1605558462.936809,3.186,2.100,0.860
1605558462.989242,1605558466.260440,3.269,2.091,0.824
1605558466.313436,1605558469.567714,3.252,2.086,0.847
1605558469.620637,1605558472.867560,3.244,2.095,0.837
1605558472.920444,1605558476.120607,3.195,2.100,0.830
1605558476.173874,1605558479.378547,3.202,2.147,0.801
1605558479.433236,1605558482.721166,3.286,2.178,0.787
