,memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used,cost
0,128,cold,True,7029731,0.452404,7387402.0,7051480,89.0,14.994625000000001
1,128,cold,True,6679916,0.414256,7040062.0,6701010,90.0,14.3695
2,128,cold,True,6855759,0.431542,7284380.0,6876910,89.0,14.577875
3,128,cold,True,6434613,0.429516,6821150.0,6437390,89.0,13.744375
4,128,cold,True,6654342,0.430072,7067746.0,6675820,90.0,14.161125
5,128,cold,True,6667503,0.604329,7027392.0,6669860,89.0,14.161125
6,128,cold,True,7001929,0.433903,7391204.0,7005260,90.0,14.994625000000001
7,128,cold,True,6898333,0.578408,7244322.0,6919650,89.0,14.78625
8,128,cold,True,6587725,0.560809,6944515.0,6590220,89.0,13.95275
9,128,cold,True,6479925,0.43163500000000005,6805789.0,6482380,89.0,13.744375
10,128,cold,True,6982663,0.473919,7372614.0,7004850,89.0,14.994625000000001
11,128,cold,True,7318343,0.42410299999999995,7709692.0,7324560,89.0,15.61975
12,128,cold,True,7142805,0.393853,7542199.0,7173360,90.0,15.203000000000001
13,128,cold,True,6533380,0.43739700000000004,6939195.0,6554790,89.0,13.95275
14,128,cold,True,6171678,0.393333,6635622.0,6192950,90.0,13.119250000000001
15,128,cold,True,6639971,0.43202799999999997,7028308.0,6661250,90.0,14.161125
16,128,cold,True,7197004,0.42417200000000005,7567131.0,7218290,89.0,15.411375000000001
17,128,cold,True,6481423,0.56725,6842501.0,6502830,90.0,13.95275
18,128,cold,True,6898859,0.603548,7264371.0,6902590,90.0,14.78625
19,128,cold,True,6657067,0.413796,7093518.0,6676380,89.0,14.161125
20,128,cold,True,6141964,0.409929,6514020.0,6163140,89.0,13.119250000000001
21,128,cold,True,574015,0.400611,1087873.0,576140,92.0,1.45025
22,128,cold,True,6917134,0.5341239999999999,7280246.0,6938450,89.0,14.78625
23,128,cold,True,6820727,0.416929,7276169.0,6842720,89.0,14.577875
24,128,cold,True,6765012,0.44055500000000003,7180444.0,6786840,89.0,14.3695
25,128,cold,True,6381857,0.446018,6731393.0,6384500,90.0,13.536
26,128,cold,True,6491073,0.42947299999999994,6882396.0,6493570,89.0,13.744375
27,128,cold,True,6446106,0.42088000000000003,6848471.0,6467230,89.0,13.744375
28,128,cold,True,7197204,0.468658,7630959.0,7219390,89.0,15.411375000000001
29,128,cold,True,6384626,0.431138,6786436.0,6408330,90.0,13.744375
30,128,cold,True,6376094,0.568596,6738258.0,6397840,89.0,13.536
31,128,cold,True,6581907,0.5278579999999999,6950036.0,6584960,89.0,13.95275
32,128,cold,True,6480426,0.47784899999999997,6832260.0,6502460,90.0,13.95275
