,memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used,cost
0,Dynamic,burst,False,583768,0.294725,46584953.0,45747645,,57.20679866412214
1,Dynamic,burst,False,472917,0.30866,38667357.0,20946222,,57.20679866412214
2,Dynamic,burst,False,461309,0.292502,37930217.0,36858047,,57.20679866412214
3,Dynamic,burst,False,581357,0.28642399999999996,34094108.0,33412778,,57.20679866412214
4,Dynamic,burst,False,594697,0.280791,50526243.0,26003469,,57.20679866412214
5,Dynamic,burst,True,24221848,0.31664000000000003,54359362.0,24350868,,57.20679866412214
6,Dynamic,burst,True,22802294,0.719143,42440629.0,22898379,,57.20679866412214
7,Dynamic,burst,False,487104,0.29886,37219274.0,19568068,,57.20679866412214
8,Dynamic,burst,False,557832,0.3183,42501246.0,41528571,,57.20679866412214
9,Dynamic,burst,True,24198292,0.33276100000000003,51475000.0,24368053,,57.20679866412214
10,Dynamic,burst,False,462468,0.270453,32554395.0,31605140,,57.20679866412214
11,Dynamic,burst,False,440532,0.264362,32968940.0,32038829,,57.20679866412214
12,Dynamic,burst,False,638756,0.320981,30489329.0,29955998,,57.20679866412214
13,Dynamic,burst,False,554057,0.300577,44428849.0,43591372,,57.20679866412214
14,Dynamic,burst,False,590367,0.307354,40244155.0,39365242,,57.20679866412214
15,Dynamic,burst,False,576146,0.27828600000000003,51723880.0,27155744,,57.20679866412214
16,Dynamic,burst,False,457933,0.309296,28013061.0,27277986,,57.20679866412214
17,Dynamic,burst,False,575688,0.285462,31226718.0,30525284,,57.20679866412214
18,Dynamic,burst,False,588029,0.272034,47841625.0,46867706,,57.20679866412214
19,Dynamic,burst,False,611149,0.727641,22770539.0,22134052,,57.20679866412214
20,Dynamic,burst,False,587987,0.329179,32102368.0,31342516,,57.20679866412214
21,Dynamic,burst,False,573768,0.35129,42669233.0,41917225,,57.20679866412214
22,Dynamic,burst,False,698036,0.322552,38392450.0,37611790,,57.20679866412214
23,Dynamic,burst,False,436916,0.301624,31501769.0,30766428,,57.20679866412214
24,Dynamic,burst,False,570111,0.32843,25069451.0,21955519,,57.20679866412214
25,Dynamic,burst,False,581653,0.297591,26124617.0,25539392,,57.20679866412214
26,Dynamic,burst,False,567175,0.258024,37585483.0,32957672,,57.20679866412214
27,Dynamic,burst,False,443741,0.305334,25634824.0,25074195,,57.20679866412214
28,Dynamic,burst,False,613477,0.328371,29379250.0,28691353,,57.20679866412214
29,Dynamic,burst,False,441091,0.308469,26996907.0,26399668,,57.20679866412214
30,Dynamic,burst,False,575084,0.31008800000000003,49420708.0,48322569,,57.20679866412214
31,Dynamic,burst,False,563245,0.341208,46559096.0,45486938,,57.20679866412214
32,Dynamic,burst,False,449790,0.319603,28827397.0,28174819,,57.20679866412214
33,Dynamic,burst,False,574568,0.32474200000000003,44539078.0,43588774,,57.20679866412214
34,Dynamic,burst,False,619885,0.293943,31003792.0,30177449,,57.20679866412214
35,Dynamic,burst,False,604538,0.298939,34738549.0,34017493,,57.20679866412214
36,Dynamic,burst,False,592452,0.315481,27939885.0,24826607,,57.20679866412214
37,Dynamic,burst,False,559932,0.302596,38588340.0,34053148,,57.20679866412214
38,Dynamic,burst,False,575696,0.31687,41441672.0,40428074,,57.20679866412214
39,Dynamic,burst,False,592421,0.286515,24475023.0,21397908,,57.20679866412214
40,Dynamic,burst,False,568281,0.330411,38170366.0,37134001,,57.20679866412214
41,Dynamic,burst,False,594436,0.299734,33479369.0,32838112,,57.20679866412214
42,Dynamic,burst,False,554203,0.287056,35721614.0,31297510,,57.20679866412214
43,Dynamic,burst,False,604750,0.297104,28781228.0,28092077,,57.20679866412214
44,Dynamic,burst,False,563045,0.282692,44998623.0,22313769,,57.20679866412214
45,Dynamic,burst,False,561933,0.307557,35166711.0,30761303,,57.20679866412214
46,Dynamic,burst,False,562380,0.279665,25713045.0,22525898,,57.20679866412214
47,Dynamic,burst,True,23628211,0.279563,23777620.0,23712775,,57.20679866412214
48,Dynamic,burst,False,574846,0.33863899999999997,27708018.0,27135323,,57.20679866412214
49,Dynamic,burst,False,458175,0.300637,38373892.0,37294377,,57.20679866412214
50,Dynamic,burst,False,576552,0.314944,33870213.0,33048240,,57.20679866412214
51,Dynamic,burst,False,565674,0.343556,43695044.0,42628963,,57.20679866412214
52,Dynamic,burst,False,469678,0.266538,19042383.0,18581633,,57.20679866412214
53,Dynamic,burst,False,585339,0.302734,25688732.0,24972214,,57.20679866412214
54,Dynamic,burst,False,587739,0.272995,45583280.0,22903932,,57.20679866412214
55,Dynamic,burst,False,563046,0.247718,30836746.0,26383520,,57.20679866412214
56,Dynamic,burst,False,581972,0.30049899999999996,39645842.0,38727931,,57.20679866412214
57,Dynamic,burst,False,583273,0.273319,46192401.0,45103559,,57.20679866412214
58,Dynamic,burst,True,24710410,0.284339,24908191.0,24806539,,57.20679866412214
59,Dynamic,burst,False,558492,0.303057,42068032.0,37283990,,57.20679866412214
60,Dynamic,burst,False,608760,0.343934,33037206.0,32275532,,57.20679866412214
61,Dynamic,burst,False,546001,0.29118,32445168.0,28023758,,57.20679866412214
62,Dynamic,burst,False,573708,0.342949,39792495.0,39024640,,57.20679866412214
63,Dynamic,burst,False,622695,0.33550599999999997,50066094.0,25403433,,57.20679866412214
64,Dynamic,burst,False,603929,0.277821,42703146.0,41728415,,57.20679866412214
65,Dynamic,burst,False,561652,0.341017,30581163.0,29954613,,57.20679866412214
66,Dynamic,burst,False,581883,0.337298,41635761.0,40797524,,57.20679866412214
67,Dynamic,burst,False,541683,0.290553,39632596.0,35085337,,57.20679866412214
68,Dynamic,burst,False,459972,0.293914,23523786.0,22861562,,57.20679866412214
69,Dynamic,burst,False,437523,0.302309,26178133.0,25530170,,57.20679866412214
