,memory,type,is_cold,exec_time,connection_time,client_time,provider_time,cost
0,512,cold,True,6763638,0.09626599999999999,9674428.0,6778000,63.30000000000001
1,512,cold,True,7016037,0.0695,9650986.0,7026000,66.07500000000002
2,512,cold,True,6938388,0.073522,9648379.0,6949000,65.15000000000002
3,512,cold,True,8054005,0.13176,11626691.0,8071000,75.32500000000002
4,512,cold,True,10224913,0.06882,14980933.0,10253000,95.67500000000001
5,512,cold,True,8127029,0.18250999999999998,11246336.0,8140000,76.25
6,512,cold,True,10433943,0.078908,13443852.0,10448000,97.525
7,512,cold,True,6947022,0.086345,9868658.0,6962000,65.15000000000002
8,512,cold,True,6657706,0.10370599999999999,9209858.0,6671000,62.375
9,512,cold,True,6680170,0.110355,10591147.0,6691000,62.375
10,512,cold,True,7169623,0.078024,10248792.0,7189000,67.00000000000001
11,512,cold,True,7436895,0.061671000000000004,10959145.0,7449000,69.775
12,512,cold,True,9386698,0.089367,13064615.0,9399000,87.35000000000002
13,512,cold,True,7873395,0.057120000000000004,11100186.0,7885000,73.47500000000001
14,512,cold,True,8446696,0.169215,12079396.0,8461000,79.02500000000002
15,512,cold,True,8020716,0.158255,11603627.0,8034000,75.32500000000002
16,512,cold,True,10425564,0.113223,13867722.0,10443000,97.525
17,512,cold,True,10583393,0.070463,13899268.0,10600000,98.45000000000002
18,512,cold,True,10592620,0.17194600000000002,15032903.0,10605000,99.37500000000001
19,512,cold,True,7247708,0.082066,10219836.0,7259000,67.92500000000001
20,512,cold,True,6455198,0.07103999999999999,9482152.0,6473000,60.525000000000006
21,512,cold,True,7455467,0.084108,9729501.0,7467000,69.775
22,512,cold,True,8792423,0.162455,11880202.0,8804000,82.72500000000001
23,512,cold,True,6166823,0.13656600000000002,8965750.0,6180000,57.75000000000001
24,512,cold,True,6940215,0.165894,10157832.0,6951000,65.15000000000002
25,512,cold,True,7935738,0.143868,11618024.0,7947000,74.40000000000002
26,512,cold,True,9964976,0.12482599999999999,13467878.0,9977000,92.9
27,512,cold,True,7052678,0.1359,9282867.0,7065000,66.07500000000002
28,512,cold,True,7470540,0.08065800000000001,10936484.0,7482000,69.775
29,512,cold,True,7342650,0.09446399999999999,10481736.0,7356000,68.85000000000002
30,512,cold,True,7196672,0.153059,11812944.0,7215000,67.92500000000001
31,512,cold,True,8628683,0.16348800000000002,12416072.0,8642000,80.87500000000003
32,512,cold,True,11597146,0.078604,14345625.0,11609000,108.62500000000001
33,512,cold,True,7503682,0.07785399999999999,9984387.0,7515000,70.7
34,512,cold,True,8057247,0.085241,11425433.0,8069000,75.32500000000002
35,512,cold,True,9611604,0.09163500000000001,13069568.0,9627000,90.125
36,512,cold,True,7172622,0.160326,10892356.0,7184000,67.00000000000001
37,512,cold,True,6848424,0.10045499999999999,9629898.0,6860000,64.22500000000001
38,512,cold,True,9239731,0.072625,14267125.0,9257000,86.42500000000003
39,512,cold,True,6493432,0.11929300000000001,8885975.0,6505000,61.45
40,512,cold,True,7900423,0.150585,11626484.0,7916000,74.40000000000002
41,512,cold,True,7243414,0.07938300000000001,10987046.0,7255000,67.92500000000001
42,512,cold,True,7226652,0.133553,10303792.0,7238000,67.92500000000001
43,512,cold,True,7411646,0.105531,11681823.0,7436000,69.775
44,512,cold,True,7869945,0.149872,11699958.0,7885000,73.47500000000001
45,512,cold,True,7916131,0.165243,11677448.0,7930000,74.40000000000002
46,512,cold,True,6774158,0.082484,9889855.0,6787000,63.30000000000001
47,512,cold,True,7734773,0.079447,11091999.0,7747000,72.55000000000003
48,512,cold,True,10068181,0.061628999999999996,13035047.0,10082000,93.82500000000002
49,512,cold,True,18736332,0.08147599999999999,18802176.0,18745000,174.30000000000004
50,512,cold,True,7379102,0.147787,9991356.0,7393000,68.85000000000002
51,512,cold,True,7437336,0.123313,10371312.0,7457000,69.775
52,512,cold,True,6681608,0.081553,9796671.0,6694000,62.375
53,512,cold,True,7360098,0.080182,10482139.0,7377000,68.85000000000002
54,512,cold,True,7406413,0.06055599999999999,10038327.0,7421000,69.775
55,512,cold,True,7180976,0.090272,11718086.0,7194000,67.00000000000001
56,512,cold,True,8359501,0.15879000000000001,11979239.0,8376000,78.10000000000001
57,512,cold,True,6768655,0.086418,9667967.0,6780000,63.30000000000001
58,512,cold,True,8458802,0.10684600000000001,11504380.0,8475000,79.02500000000002
59,512,cold,True,8632562,0.103171,12027013.0,8654000,80.87500000000003
60,512,cold,True,10900181,0.148946,15049545.0,10917000,102.15
61,512,cold,True,6723869,0.098011,9537457.0,6735000,63.30000000000001
62,512,cold,True,6641625,0.100377,9190291.0,6652000,62.375
63,512,cold,True,11006498,0.17373,14922477.0,11037000,103.07500000000002
64,512,cold,True,6699712,0.089586,9749289.0,6711000,63.30000000000001
65,512,cold,True,6382193,0.118398,8886963.0,6392000,59.60000000000001
66,512,cold,True,6912337,0.159854,9249792.0,6923000,65.15000000000002
67,512,cold,True,7402093,0.09941900000000001,10030175.0,7413000,69.775
68,512,cold,True,8056440,0.100767,11095394.0,8069000,75.32500000000002
69,512,cold,True,7331412,0.13171300000000002,10305828.0,7346000,68.85000000000002
70,512,cold,True,6981735,0.06893200000000001,9821739.0,6994000,65.15000000000002
71,512,cold,True,7960509,0.07396799999999999,11813561.0,7972000,74.40000000000002
72,512,cold,True,8328196,0.11735999999999999,12268501.0,8345000,78.10000000000001
73,512,cold,True,6849622,0.084776,9596425.0,6861000,64.22500000000001
74,512,cold,True,7976805,0.094657,11115550.0,7989000,74.40000000000002
75,512,cold,True,8664920,0.084819,11990399.0,8677000,80.87500000000003
76,512,cold,True,10444003,0.17211400000000002,15004305.0,10457000,97.525
77,512,cold,True,7083482,0.084498,9864408.0,7094000,66.07500000000002
78,512,cold,True,8276554,0.132107,12253537.0,8289000,77.17500000000001
79,512,cold,True,7327775,0.111419,11658836.0,7346000,68.85000000000002
80,512,cold,True,8162895,0.078689,11203412.0,8174000,76.25
81,512,cold,True,18105381,0.082526,18161454.0,18114000,168.75
82,512,cold,True,6817310,0.07472100000000001,9837817.0,6831000,64.22500000000001
83,512,cold,True,8106931,0.080216,11379921.0,8121000,76.25
84,512,cold,True,10042358,0.088826,13023018.0,10055000,93.82500000000002
85,512,cold,True,8137768,0.168096,11237137.0,8155000,76.25
86,512,cold,True,8344960,0.167962,11233112.0,8358000,78.10000000000001
87,512,cold,True,7117447,0.178627,9955361.0,7130000,67.00000000000001
88,512,cold,True,7532952,0.120244,10361471.0,7544000,70.7
89,512,cold,True,7106288,0.10811099999999998,9878690.0,7116000,67.00000000000001
90,512,cold,True,7306666,0.101361,10337373.0,7324000,68.85000000000002
91,512,cold,True,6786511,0.088863,8959224.0,6797000,63.30000000000001
92,512,cold,True,7866815,0.166453,11287128.0,7881000,73.47500000000001
93,512,cold,True,9316884,0.176767,14369355.0,9340000,87.35000000000002
94,512,cold,True,6994545,0.139904,11418163.0,7015000,66.07500000000002
95,512,cold,True,7373149,0.095195,10343003.0,7385000,68.85000000000002
96,512,cold,True,7917059,0.072657,11384656.0,7942000,74.40000000000002
97,512,cold,True,7452888,0.072854,11013268.0,7464000,69.775
98,512,cold,True,7456763,0.074308,10986792.0,7468000,69.775
99,512,cold,True,11480525,0.076683,14378351.0,11499000,106.77500000000002
100,512,cold,True,7146990,0.167206,10200366.0,7161000,67.00000000000001
101,512,cold,True,7800889,0.074298,10907189.0,7820000,73.47500000000001
102,512,cold,True,7200306,0.14494200000000002,10197067.0,7212000,67.92500000000001
103,512,cold,True,7186850,0.13843699999999998,10223576.0,7198000,67.00000000000001
104,512,cold,True,7860522,0.083402,11530874.0,7872000,73.47500000000001
105,512,cold,True,8478121,0.076274,12000352.0,8500000,79.02500000000002
106,512,cold,True,18689673,0.062941,18760649.0,18699000,173.37500000000003
107,512,cold,True,9958197,0.11096099999999999,14811454.0,9979000,92.9
108,512,cold,True,7237039,0.106869,11720774.0,7250000,67.92500000000001
109,512,cold,True,8305011,0.083649,11796114.0,8317000,78.10000000000001
110,512,cold,True,7221566,0.085355,11710191.0,7232000,67.92500000000001
111,512,cold,True,10054778,0.088888,13120552.0,10068000,93.82500000000002
112,512,cold,True,7424122,0.064634,10947823.0,7436000,69.775
113,512,cold,True,7565210,0.156503,10746947.0,7585000,70.7
114,512,cold,True,7927474,0.136844,11280992.0,7939000,74.40000000000002
115,512,cold,True,7723525,0.17739100000000002,11246905.0,7736000,72.55000000000003
116,512,cold,True,8159971,0.17741700000000002,11307738.0,8172000,76.25
117,512,cold,True,6659869,0.087757,9666532.0,6671000,62.375
118,512,cold,True,7783120,0.130553,11126497.0,7804000,73.47500000000001
119,512,cold,True,8655238,0.15423499999999998,12945356.0,8670000,80.87500000000003
120,512,cold,True,7642957,0.112448,11310867.0,7655000,71.62500000000001
121,512,cold,True,8788868,0.132795,12693688.0,8809000,82.72500000000001
122,512,cold,True,7821486,0.07085599999999999,11140228.0,7832000,73.47500000000001
123,512,cold,True,7413722,0.099603,10074693.0,7426000,69.775
