payload_size,repetition,is_cold,connection_time,start_timestamp,finish_timestamp,request_id
1024.0,0,1,0.486035,1597935624.69718,1597935625.728524,e937c52f-1acd-47af-9be0-d101ac45e73f
1024.0,1,1,0.398765,1597935634.203884,1597935635.198988,33cc05b1-289a-4f6a-8751-c9b399fa367b
1024.0,2,1,0.427292,1597935643.497547,1597935644.730318,0c98fd06-1ed7-4f63-9c5f-f52fdedb91fe
1024.0,3,1,0.39759,1597935654.834316,1597935655.812296,af41c67f-a9bd-48b4-9d85-24df70bd699c
1024.0,4,1,0.402318,1597935667.135021,1597935668.190303,10cf9a7f-fe87-4dcf-b836-459ffad96f5e
329970.1052631579,0,1,0.402523,1597935678.056608,1597935679.621451,0c849a24-edde-4a85-af97-e2a6c9a1a095
329970.1052631579,1,1,0.4768,1597935697.439863,1597935699.077981,ba8c2fa3-2385-4b8d-a8c1-064a61dbbb6d
329970.1052631579,2,1,0.410863,1597935707.326815,1597935708.862477,4efc6636-2d39-4bf4-8ce6-3241e2748ecc
329970.1052631579,3,1,0.439263,1597935722.183378,1597935723.775509,f30e0ec4-92e9-48c3-9bc2-4242cf1091a9
329970.1052631579,4,1,0.392636,1597935734.588557,1597935736.268086,858fb4b6-7977-4464-8740-bd355ae77c94
658916.2105263158,0,1,0.366102,1597935745.875693,1597935747.767207,59c3fadf-d72c-4396-8fc5-66e5efafa42b
658916.2105263158,1,1,0.426232,1597935757.003566,1597935758.942433,126db450-6ea3-4af0-ab2a-3b0cce745acb
658916.2105263158,2,1,0.426061,1597935768.092979,1597935769.991679,0e597d61-bf4b-4093-aaaa-9ccd334d3607
658916.2105263158,3,1,0.428029,1597935780.153178,1597935782.195284,0923be59-d441-45e6-aafa-fe7c9ecac78b
658916.2105263158,4,1,0.376922,1597935793.254571,1597935795.22758,45ac5f30-4ddf-46b9-b292-4e22993b6d5f
987862.3157894737,0,1,0.379028,1597935806.071499,1597935808.502935,019ccbcf-b9d3-4df8-83b1-f7a8e03400fe
987862.3157894737,1,1,0.417011,1597935820.162149,1597935822.586202,f471332c-b396-4133-bae5-9b57ab1ba8bf
987862.3157894737,2,1,0.448751,1597935833.998634,1597935836.35017,24bd16bf-c44c-4973-9f75-c631a2d5f643
987862.3157894737,3,1,0.397966,1597935844.922646,1597935847.193171,0b81d713-75b4-4c62-9aa9-d0b592acb53f
987862.3157894737,4,1,0.383854,1597935858.093423,1597935860.341798,bbe61f0a-908f-493b-b2e5-1bad30ee12b4
1316808.4210526317,0,1,0.433512,1597935872.016316,1597935874.640003,20e97e42-f8bb-452c-ba7d-ff10c5f5aedf
1316808.4210526317,1,1,0.39159,1597935883.404313,1597935885.898749,39783fe1-989b-4054-a844-4857c80b5e2d
1316808.4210526317,2,1,0.48095,1597935896.842924,1597935899.505368,68b5570a-571d-4589-8cce-c2d35a1a519e
1316808.4210526317,3,1,0.365885,1597935911.303216,1597935914.090743,4ece363a-456f-4530-967c-400cab01691f
1316808.4210526317,4,1,0.383571,1597935922.755111,1597935925.22361,90ca6467-647b-4752-82ab-2b91d89b8996
1645754.5263157897,0,1,0.403784,1597935935.160096,1597935938.188669,5a2f26a0-a654-4371-a22b-a1eb72eded58
1645754.5263157897,1,1,0.460512,1597935951.608113,1597935954.592612,0f35ea88-35f4-408c-82ca-45b263b5cdc8
1645754.5263157897,2,1,0.476016,1597935966.590526,1597935969.662019,49ec8547-2350-4cf6-b3c8-321eb6215cb5
