payload_size,repetition,connection_time,start_timestamp,finish_timestamp,request_id,clock_drift_mean,clock_drift_std,invocation_time
1024.0,0,0.498489,1597933470.054075,1597933471.163078,0cceb3a0-676b-4f2c-bd57-11670802b8a7,0.006915624325092022,0.0008621671120844191,0.6174296913416937
1024.0,1,0.404631,1597933478.262186,1597933478.878316,c3f326e1-b99b-4750-ae4c-8c500f2abf3c,0.0066453435204245825,0.000688586331272221,0.21814421870353004
1024.0,2,0.401976,1597933480.812718,1597933481.43094,9698ce97-458d-4505-a19e-f88fe112f826,0.007124684073708274,0.00184759573173883,0.22337068228842996
1024.0,3,0.401672,1597933483.353963,1597933483.975822,62b65373-f35a-4da9-90ef-5bd30398748d,0.011378450827165083,0.0004322638817741233,0.2315655244660811
1024.0,4,0.406701,1597933485.793255,1597933486.431434,f7bed9b0-ed1f-4161-ab6d-89e84f83cbb2,0.0017965853214263916,0.000615152584784581,0.2332744106998444
329970.1052631579,0,0.429379,1597933489.492205,1597933490.816957,14b34987-399a-4606-8872-d305638563e0,0.011080373417247425,0.000445148156631129,0.9064534657786977
329970.1052631579,1,0.434984,1597933492.658185,1597933494.016981,03cc4e5f-3fa9-4d10-94ed-48995fed635b,0.007809102535247803,0.003406592162576668,0.9316209838066101
329970.1052631579,2,0.446134,1597933496.140684,1597933497.504209,819677f2-5e51-4b75-9388-85a966e06aea,0.006430361952100482,0.0005279931684956799,0.9238215141585213
329970.1052631579,3,0.469754,1597933499.613496,1597933501.028106,b923bd1d-1d56-4d96-9661-00eaefcca373,0.0023535688718159995,0.000915897934904987,0.9472094779294332
329970.1052631579,4,0.461315,1597933504.661033,1597933506.077345,2a4f69bd-6d40-4bc1-9fb7-3dc5d827cd8a,0.011667728424072266,0.0016479442265372487,0.9666647077178956
658916.2105263158,0,0.442273,1597933508.292928,1597933510.034114,a4b155e4-6904-4ccc-8154-e88713e623bd,0.011051462756262885,0.0004488671116949664,1.309964366305457
