id,server_rcv,server_send
1,1597934171.849815,1597934171.849833
2,1597934171.986618,1597934171.986636
3,1597934172.122934,1597934172.122943
4,1597934172.261303,1597934172.261322
5,1597934172.400184,1597934172.400202
6,1597934172.538618,1597934172.538636
7,1597934172.675033,1597934172.675043
8,1597934172.814435,1597934172.814453
9,1597934172.952057,1597934172.952074
10,1597934173.090142,1597934173.09015
11,1597934173.228957,1597934173.228975
