id,server_rcv,server_send
1,1597934042.936611,1597934042.936629
2,1597934043.063585,1597934043.063593
3,1597934043.190674,1597934043.19069
4,1597934043.320921,1597934043.320939
5,1597934043.450597,1597934043.450615
6,1597934043.579324,1597934043.579342
7,1597934043.706737,1597934043.706744
8,1597934043.835485,1597934043.835503
9,1597934043.96624,1597934043.966289
10,1597934044.09426,1597934044.094268
11,1597934044.222603,1597934044.222618
12,1597934044.352897,1597934044.352913
